Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly)
 01/01  01:00:00,23.27075155,4.804718302,0.001498719,0,4.58992533,8.1892,123.4137922,112.5636921,3.33988,7.510220017
 01/01  02:00:00,14.63863143,0,0,0,1.52997511,7.4902,3.931973634,0,3.33988,0.592093634
 01/01  03:00:00,14.65443292,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
 01/01  04:00:00,14.66330947,0,0,0,1.52997511,7.4902,3.931927814,0,3.33988,0.592047814
 01/01  05:00:00,14.81114453,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
 01/01  06:00:00,23.39390495,4.804718302,0.007286752,0,4.58992533,8.1892,128.1687616,119.2270079,8.3497,0.592053755
 01/01  07:00:00,39.35888852,4.804718302,0.011730113,0,9.179850659,19.4245,135.5086264,114.1935101,16.6994,4.615716291
 01/01  08:00:00,43.64396048,4.804718302,0.007278259,0,9.179850659,26.9147,132.6419634,102.4024067,25.0491,5.190456686
 01/01  09:00:00,42.59505278,4.804718302,0.000933964,0,9.179850659,26.9147,130.3563845,91.76680684,33.3988,5.190777622
 01/01  10:00:00,35.11060286,4.804718302,0,0,9.179850659,19.4245,113.3603842,83.69471295,25.0491,4.616571273
 01/01  11:00:00,42.61372554,4.804718302,0.003281318,0,9.179850659,26.9147,125.8068632,68.36849717,41.7485,15.68986599
 01/01  12:00:00,43.39230161,4.804718302,0,0,9.179850659,26.9147,113.8937576,55.87053562,41.7485,16.27472196
 01/01  13:00:00,42.67568043,4.804718302,0,0,9.179850659,26.9147,97.83220494,43.33154025,41.7485,12.75216469
 01/01  14:00:00,35.15404916,4.804718302,0,0,9.179850659,19.4245,86.71833858,40.56730415,33.3988,12.75223444
 01/01  15:00:00,35.16328355,4.804718302,0,0,9.179850659,19.4245,76.35251472,41.72390635,25.0491,9.579508376
 01/01  16:00:00,35.15258821,4.804718302,0,0,9.179850659,19.4245,86.37442007,43.47393503,33.3988,9.501685046
 01/01  17:00:00,43.6228163,4.804718302,0.002976159,0,9.179850659,26.9147,112.2753076,52.34789926,50.0982,9.829208322
 01/01  18:00:00,46.80707812,4.804718302,0,0,9.179850659,26.9147,130.4366496,67.58681362,50.0982,12.75163597
 01/01  19:00:00,46.81105441,4.804718302,0,0,9.179850659,26.9147,135.6579624,69.86750652,50.0982,15.69225592
 01/01  20:00:00,39.44859711,4.804718302,0,0,9.179850659,19.4245,128.3960724,78.72359999,33.3988,16.27367245
 01/01  21:00:00,39.42711639,4.804718302,0,0,9.179850659,19.4245,129.6265691,83.47667209,33.3988,12.75109699
 01/01  22:00:00,39.35629154,4.804718302,0,0,9.179850659,19.4245,130.6839655,89.94160952,25.0491,15.69325595
 01/01  23:00:00,39.24676619,4.804718302,0,0,9.179850659,19.4245,125.7432351,96.29138728,16.6994,12.75244785
 01/01  24:00:00,40.05451736,4.804718302,0,0,9.179850659,19.4245,113.5088069,98.81173903,8.3497,6.347367884
 01/02  01:00:00,23.29198112,4.804718302,0,0,4.58992533,8.1892,115.2740472,105.586616,3.33988,6.347551166
 01/02  02:00:00,14.63671877,0,0,0,1.52997511,7.4902,3.931973356,0,3.33988,0.592093356
 01/02  03:00:00,14.65462334,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
 01/02  04:00:00,14.66641117,0,0,0,1.52997511,7.4902,3.931927533,0,3.33988,0.592047533
 01/02  05:00:00,14.81553898,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
 01/02  06:00:00,23.39589521,4.804718302,0.005937973,0,4.58992533,8.1892,122.5810187,113.6392652,8.3497,0.592053474
 01/02  07:00:00,39.36066226,4.804718302,0.0118234,0,9.179850659,19.4245,132.9651166,111.6499571,16.6994,4.61575951
 01/02  08:00:00,43.65671713,4.804718302,0.011965056,0,9.179850659,26.9147,143.0304477,98.74683335,25.0491,19.23451437
 01/02  09:00:00,42.61070341,4.804718302,0.000573447,0,9.179850659,26.9147,134.6428226,83.78488067,33.3988,17.4591419
 01/02  10:00:00,35.1302512,4.804718302,0,0,9.179850659,19.4245,105.6836477,66.12450182,25.0491,14.51004592
 01/02  11:00:00,42.62563836,4.804718302,0.00172195,0,9.179850659,26.9147,116.044118,61.54305333,41.7485,12.75256462
 01/02  12:00:00,43.39904258,4.804718302,0,0,9.179850659,26.9147,106.232898,49.97451914,41.7485,14.50987885
 01/02  13:00:00,42.6906145,4.804718302,0,0,9.179850659,26.9147,89.98138379,35.48032762,41.7485,12.75255617
 01/02  14:00:00,35.17461734,4.804718302,0,0,9.179850659,19.4245,78.39222812,33.99349909,33.3988,10.99992903
 01/02  15:00:00,35.17007741,4.804718302,0,0,9.179850659,19.4245,74.78910522,39.90982181,25.0491,9.830183414
 01/02  16:00:00,35.1487932,4.804718302,0,0,9.179850659,19.4245,88.68702324,46.03603774,33.3988,9.2521855
 01/02  17:00:00,43.62736382,4.804718302,0.005934008,0,9.179850659,26.9147,110.2358138,50.30904409,50.0982,9.828569733
 01/02  18:00:00,46.81151086,4.804718302,0,0,9.179850659,26.9147,113.3117608,50.46115292,50.0982,12.75240788
 01/02  19:00:00,46.81863977,4.804718302,0.001672931,0,9.179850659,26.9147,112.3887669,44.83202842,50.0982,17.45853848
 01/02  20:00:00,39.45808208,4.804718302,0,0,9.179850659,19.4245,104.7077745,52.07544992,33.3988,19.23352458
 01/02  21:00:00,39.43883088,4.804718302,0,0,9.179850659,19.4245,104.7716217,55.67913882,33.3988,15.69368283
 01/02  22:00:00,39.36718312,4.804718302,0,0,9.179850659,19.4245,106.993782,64.48492812,25.0491,17.45975384
 01/02  23:00:00,39.2546963,4.804718302,0,0,9.179850659,19.4245,102.7934579,71.58442777,16.6994,14.50963009
 01/02  24:00:00,40.06155622,4.804718302,0,0,9.179850659,19.4245,94.15847386,77.72192708,8.3497,8.086846778
 01/03  01:00:00,23.29844921,4.804718302,0,0,4.58992533,8.1892,98.33266798,88.64493677,3.33988,6.347851205
 01/03  02:00:00,14.64517565,0,0,0,1.52997511,7.4902,3.931953243,0,3.33988,0.592073243
 01/03  03:00:00,14.6634378,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
 01/03  04:00:00,14.67410193,0,0,0,1.52997511,7.4902,3.931959163,0,3.33988,0.592079163
 01/03  05:00:00,15.33626617,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
 01/03  06:00:00,23.91084331,4.804718302,0.006274711,0,4.58992533,8.1892,124.0372146,115.6675146,8.3497,0.02
 01/03  07:00:00,39.5877157,4.804718302,0.009111277,0,9.179850659,19.4245,136.592729,114.7038219,16.6994,5.189507137
 01/03  08:00:00,43.65671182,4.804718302,0.01258023,0,9.179850659,26.9147,149.5116148,105.2297168,25.0491,19.23279791
 01/03  09:00:00,42.60735851,4.804718302,0.000724075,0,9.179850659,26.9147,143.9838637,93.12391792,33.3988,17.46114582
 01/03  10:00:00,35.12578916,4.804718302,0,0,9.179850659,19.4245,118.5005982,78.94116094,25.0491,14.51033728
 01/03  11:00:00,42.62083972,4.804718302,0.002058694,0,9.179850659,26.9147,122.5200061,68.01880531,41.7485,12.75270081
 01/03  12:00:00,43.39511699,4.804718302,0,0,9.179850659,26.9147,106.0351325,50.35511243,41.7485,13.93152008
 01/03  13:00:00,42.67713831,4.804718302,0,0,9.179850659,26.9147,94.20594771,39.12683801,41.7485,13.3306097
 01/03  14:00:00,35.14958134,4.804718302,0,0,9.179850659,19.4245,83.61788647,39.21832431,33.3988,11.00076216
 01/03  15:00:00,35.14927497,4.804718302,0,0,9.179850659,19.4245,80.12305659,45.24477503,25.0491,9.829181554
 01/03  16:00:00,35.13382767,4.804718302,0,0,9.179850659,19.4245,99.73611973,57.08435086,33.3988,9.252968873
 01/03  17:00:00,43.6207753,4.804718302,0.004487107,0,9.179850659,26.9147,122.6688001,62.74217186,50.0982,9.828428252
 01/03  18:00:00,46.80602377,4.804718302,0,0,9.179850659,26.9147,126.5076034,63.65611139,50.0982,12.75329205
