Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly)
 01/03  19:00:00,46.81287041,4.804718302,0.000887211,0,9.179850659,26.9147,132.5152408,64.95587211,50.0982,17.46116868
 01/03  20:00:00,39.30840658,4.804718302,0,0,9.179850659,19.4245,124.8708979,72.23940095,33.3988,19.23269691
 01/03  21:00:00,39.29717269,4.804718302,0,0,9.179850659,19.4245,125.3232006,76.23130602,33.3988,15.69309462
 01/03  22:00:00,39.25661269,4.804718302,0,0,9.179850659,19.4245,128.9086104,86.39775301,25.0491,17.46175741
 01/03  23:00:00,39.24882412,4.804718302,0,0,9.179850659,19.4245,123.5338844,92.32525095,16.6994,14.50923346
 01/03  24:00:00,40.05662753,4.804718302,0,0,9.179850659,19.4245,114.2320871,97.79622278,8.3497,8.08616436
 01/04  01:00:00,23.29277528,4.804718302,0,0,4.58992533,8.1892,117.967102,107.7037863,3.33988,6.923435695
 01/04  02:00:00,14.63605392,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
 01/04  03:00:00,14.65301987,0,0,0,1.52997511,7.4902,3.93193399,0,3.33988,0.59205399
 01/04  04:00:00,14.66371458,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
 01/04  05:00:00,14.81194466,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
 01/04  06:00:00,23.39391203,4.804718302,0.006480875,0,4.58992533,8.1892,128.0155152,119.0737294,8.3497,0.592085784
 01/04  07:00:00,39.35908227,4.804718302,0.011575084,0,9.179850659,19.4245,137.7886994,115.8987046,16.6994,5.190594738
 01/04  08:00:00,43.65471888,4.804718302,0.012640099,0,9.179850659,26.9147,151.3385742,107.6386167,25.0491,18.65085746
 01/04  09:00:00,42.60783188,4.804718302,0.000613726,0,9.179850659,26.9147,140.6794289,89.81869192,33.3988,17.461937
 01/04  10:00:00,35.12896887,4.804718302,0,0,9.179850659,19.4245,110.1071034,70.54679088,25.0491,14.51121252
 01/04  11:00:00,42.62265367,4.804718302,0.002112779,0,9.179850659,26.9147,115.4206906,60.91925761,41.7485,12.752933
 01/04  12:00:00,43.39794087,4.804718302,0,0,9.179850659,26.9147,100.6025511,44.34409399,41.7485,14.50995714
 01/04  13:00:00,42.70542263,4.804718302,0,0,9.179850659,26.9147,81.4009013,26.89896292,41.7485,12.75343838
 01/04  14:00:00,35.18407357,4.804718302,0,0,9.179850659,19.4245,72.19063791,27.21422698,33.3988,11.57761093
 01/04  15:00:00,35.18677149,4.804718302,0,0,9.179850659,19.4245,66.61743299,32.31641035,25.0491,9.251922636
 01/04  16:00:00,35.14817837,4.804718302,0,0,9.179850659,19.4245,90.50720815,47.27810228,33.3988,9.830305874
 01/04  17:00:00,43.62016393,4.804718302,0.002866556,0,9.179850659,26.9147,117.7640294,57.83632578,50.0982,9.829503583
 01/04  18:00:00,46.80657179,4.804718302,0,0,9.179850659,26.9147,126.0559017,63.20475018,50.0982,12.75295152
 01/04  19:00:00,46.81492989,4.804718302,0,0,9.179850659,26.9147,133.0287079,65.47024514,50.0982,17.46026272
 01/04  20:00:00,39.4541517,4.804718302,0,0,9.179850659,19.4245,121.2996139,68.66932879,33.3988,19.23148507
 01/04  21:00:00,39.4337964,4.804718302,0,0,9.179850659,19.4245,119.6587728,70.56730008,33.3988,15.6926727
 01/04  22:00:00,39.36356846,4.804718302,0,0,9.179850659,19.4245,117.6594724,75.03971455,25.0491,17.57065789
 01/04  23:00:00,39.25300701,4.804718302,0,0,9.179850659,19.4245,106.5781037,75.47515457,16.6994,14.40354915
 01/04  24:00:00,40.06103568,4.804718302,0,0,9.179850659,19.4245,93.68245502,77.24615067,8.3497,8.086604349
 01/05  01:00:00,23.29944931,4.804718302,0,0,4.58992533,8.1892,95.9121281,85.64833966,3.33988,6.923908443
 01/05  02:00:00,14.65004197,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
 01/05  03:00:00,14.67040227,0,0,0,1.52997511,7.4902,3.931971203,0,3.33988,0.592091203
 01/05  04:00:00,14.68225887,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
 01/05  05:00:00,14.83117597,0,0,0,1.52997511,7.4902,3.931925339,0,3.33988,0.592045339
 01/05  06:00:00,23.40185186,4.804718302,0.001772725,0,4.58992533,8.1892,97.70303055,89.33333055,8.3497,0.02
 01/05  07:00:00,39.37018792,4.804718302,0.012815096,0,9.179850659,19.4245,105.6873002,83.79690503,16.6994,5.190995141
 01/05  08:00:00,43.66585054,4.804718302,0.012194773,0,9.179850659,26.9147,117.5779458,73.87701444,25.0491,18.65183131
 01/05  09:00:00,42.61751027,4.804718302,0.001433533,0,9.179850659,26.9147,119.1359667,67.69231288,33.3988,18.04485385
 01/05  10:00:00,35.13457821,4.804718302,0,0,9.179850659,19.4245,95.69418593,56.71351191,25.0491,13.93157402
 01/05  11:00:00,42.65341213,4.804718302,0.002951773,0,9.179850659,26.9147,99.4920708,44.41061445,41.7485,13.33295636
 01/05  12:00:00,43.4379796,4.804718302,0.002984016,0,9.179850659,26.9147,81.34142798,25.66283635,41.7485,13.93009163
 01/05  13:00:00,42.75551363,4.804718302,0,0,9.179850659,26.9147,69.63880753,14.55708016,41.7485,13.33322736
 01/05  14:00:00,35.21542089,4.804718302,0,0,9.179850659,19.4245,66.49970715,22.09967048,33.3988,11.00123667
 01/05  15:00:00,35.18176778,4.804718302,0,0,9.179850659,19.4245,74.91241757,40.03287729,25.0491,9.830440286
 01/05  16:00:00,35.14802374,4.804718302,0,0,9.179850659,19.4245,94.24208501,51.01250703,33.3988,9.830777981
 01/05  17:00:00,43.63047999,4.804718302,0.005800512,0,9.179850659,26.9147,113.1964054,53.8454729,50.0982,9.252732475
 01/05  18:00:00,46.81643859,4.804718302,0,0,9.179850659,26.9147,115.7653551,52.91401085,50.0982,12.75314429
 01/05  19:00:00,46.82752575,4.804718302,0.001848021,0,9.179850659,26.9147,116.3988282,48.25642908,50.0982,18.0441991
 01/05  20:00:00,39.46879147,4.804718302,0,0,9.179850659,19.4245,104.6204339,52.56936642,33.3988,18.65226746
 01/05  21:00:00,39.44697402,4.804718302,0,0,9.179850659,19.4245,108.335857,58.66272001,33.3988,16.27433698
 01/05  22:00:00,39.37119463,4.804718302,0,0,9.179850659,19.4245,109.2524315,66.74452117,25.0491,17.4588103
 01/05  23:00:00,39.25803441,4.804718302,0,0,9.179850659,19.4245,105.2186781,74.00898903,16.6994,14.51028903
 01/05  24:00:00,40.06176614,4.804718302,0,0,9.179850659,19.4245,98.8807605,82.44469183,8.3497,8.086368669
 01/06  01:00:00,23.2989644,4.804718302,0.001477164,0,4.58992533,8.1892,107.1709985,97.4826138,3.33988,6.348504741
 01/06  02:00:00,14.64921082,0,0,0,1.52997511,7.4902,3.931968178,0,3.33988,0.592088178
 01/06  03:00:00,14.66844112,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
 01/06  04:00:00,14.67905284,0,0,0,1.52997511,7.4902,3.931943075,0,3.33988,0.592063075
 01/06  05:00:00,15.34290775,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
 01/06  06:00:00,23.91518813,4.804718302,0.004789002,0,4.58992533,8.1892,109.5868995,100.6451305,8.3497,0.592068991
 01/06  07:00:00,39.59496849,4.804718302,0.012285768,0,9.179850659,19.4245,117.0175443,95.70247719,16.6994,4.61566707
 01/06  08:00:00,43.6630212,4.804718302,0.012976815,0,9.179850659,26.9147,129.9015878,85.61655977,25.0491,19.23592806
 01/06  09:00:00,42.61537897,4.804718302,0.000745701,0,9.179850659,26.9147,126.5774296,75.71651545,33.3988,17.46211416
 01/06  10:00:00,35.13622826,4.804718302,0,0,9.179850659,19.4245,104.1469358,64.58574635,25.0491,14.51208945
 01/06  11:00:00,42.63200997,4.804718302,0.002294103,0,9.179850659,26.9147,111.5872108,57.085687,41.7485,12.75302378
 01/06  12:00:00,43.40461401,4.804718302,0,0,9.179850659,26.9147,99.13190689,42.87153229,41.7485,14.51187459
 01/06  13:00:00,42.70291814,4.804718302,0,0,9.179850659,26.9147,85.08800573,30.19925305,41.7485,13.14025268
 01/06  14:00:00,35.17753099,4.804718302,0,0,9.179850659,19.4245,76.02360304,31.4314368,33.3988,11.19336623
 01/06  15:00:00,35.17265475,4.804718302,0,0,9.179850659,19.4245,72.36944954,37.4905869,25.0491,9.829762647
 01/06  16:00:00,35.15993298,4.804718302,0,0,9.179850659,19.4245,86.14338066,42.91540331,33.3988,9.829177349
 01/06  17:00:00,43.63306762,4.804718302,0.003029036,0,9.179850659,26.9147,108.615937,49.26476349,50.0982,9.25297351
 01/06  18:00:00,46.81729253,4.804718302,0,0,9.179850659,26.9147,117.1330543,53.70251365,50.0982,13.33234067
 01/06  19:00:00,46.82389869,4.804718302,0.001145365,0,9.179850659,26.9147,116.4216815,48.86119254,50.0982,17.46228899
 01/06  20:00:00,39.31998193,4.804718302,0,0,9.179850659,19.4245,105.7816839,53.14738698,33.3988,19.23549695
 01/06  21:00:00,39.30891014,4.804718302,0,0,9.179850659,19.4245,114.639705,65.54721731,33.3988,15.69368768
 01/06  22:00:00,39.26307809,4.804718302,0,0,9.179850659,19.4245,120.7313039,78.22028022,25.0491,17.46192371
 01/06  23:00:00,39.25299379,4.804718302,0,0,9.179850659,19.4245,114.2734993,83.06404921,16.6994,14.51005012
 01/06  24:00:00,40.06018726,4.804718302,0,0,9.179850659,19.4245,102.6538082,86.2175073,8.3497,8.086600863
 01/07  01:00:00,23.29708145,4.804718302,0,0,4.58992533,8.1892,105.0325586,94.76871778,3.33988,6.923960869
 01/07  02:00:00,14.64543144,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
 01/07  03:00:00,14.66428194,0,0,0,1.52997511,7.4902,3.931949858,0,3.33988,0.592069858
 01/07  04:00:00,14.67496697,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
 01/07  05:00:00,14.82281847,0,0,0,1.52997511,7.4902,3.931955765,0,3.33988,0.592075765
 01/07  06:00:00,23.39918196,4.804718302,0.005623911,0,4.58992533,8.1892,118.5469734,110.1772734,8.3497,0.02
 01/07  07:00:00,39.36218416,4.804718302,0.009722258,0,9.179850659,19.4245,122.4943577,100.6044784,16.6994,5.190479265
 01/07  08:00:00,43.65232557,4.804718302,0.007535964,0,9.179850659,26.9147,114.4286527,84.76395526,25.0491,4.615597444
 01/07  09:00:00,42.60415396,4.804718302,0.000844589,0,9.179850659,26.9147,116.936525,78.34706658,33.3988,5.190658397
 01/07  10:00:00,35.1248024,4.804718302,0.00065644,0,9.179850659,19.4245,115.8062576,74.48102517,25.0491,16.27613246
 01/07  11:00:00,42.62386696,4.804718302,0.002669295,0,9.179850659,26.9147,124.135147,67.87440318,41.7485,14.51224382
 01/07  12:00:00,43.39811614,4.804718302,0,0,9.179850659,26.9147,110.355113,52.90954986,41.7485,15.69706311
 01/07  13:00:00,42.68191971,4.804718302,0,0,9.179850659,26.9147,103.1534897,45.13136408,41.7485,16.27362562
 01/07  14:00:00,35.15290381,4.804718302,0,0,9.179850659,19.4245,94.96843457,47.05688254,33.3988,14.51275203
 01/07  15:00:00,35.15230897,4.804718302,0,0,9.179850659,19.4245,89.05521797,51.25403737,25.0491,12.7520806
 01/07  16:00:00,35.14477149,4.804718302,0,0,9.179850659,19.4245,102.8348199,56.68300963,33.3988,12.75301022
 01/07  17:00:00,43.63648329,4.804718302,0.00483382,0,9.179850659,26.9147,122.7447748,61.06735055,50.0982,11.57922423
 01/07  18:00:00,46.81524934,4.804718302,0,0,9.179850659,26.9147,128.471103,65.62002604,50.0982,12.75287692
 01/07  19:00:00,46.82149313,4.804718302,0.001834881,0,9.179850659,26.9147,125.0026089,57.44160858,50.0982,17.46280035
 01/07  20:00:00,39.46407541,4.804718302,0,0,9.179850659,19.4245,105.9379771,55.07903424,33.3988,17.46014288
 01/07  21:00:00,39.4413536,4.804718302,0,0,9.179850659,19.4245,114.1379095,64.46342928,33.3988,16.27568019
 01/07  22:00:00,39.36855716,4.804718302,0,0,9.179850659,19.4245,107.4619452,64.95105871,25.0491,17.46178646
 01/07  23:00:00,39.25757906,4.804718302,0,0,9.179850659,19.4245,101.3025702,71.85106016,16.6994,12.75211001
 01/07  24:00:00,40.06062618,4.804718302,0,0,9.179850659,19.4245,99.7343694,81.55543868,8.3497,9.829230722
 01/08  01:00:00,23.29906794,4.804718302,0.001505409,0,4.58992533,8.1892,111.6862039,100.2599612,3.33988,8.086362709
 01/08  02:00:00,14.64686733,0,0,0,1.52997511,7.4902,3.931975603,0,3.33988,0.592095603
 01/08  03:00:00,14.66187999,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
 01/08  04:00:00,14.66847272,0,0,0,1.52997511,7.4902,3.931968596,0,3.33988,0.592088596
 01/08  05:00:00,14.81358974,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
 01/08  06:00:00,23.39320616,4.804718302,0.008203521,0,4.58992533,8.1892,144.1979954,135.2562009,8.3497,0.592094483
 01/08  07:00:00,39.35381652,4.804718302,0.009483374,0,9.179850659,19.4245,155.175567,133.8607139,16.6994,4.615453155
 01/08  08:00:00,43.64100816,4.804718302,0.007521533,0,9.179850659,26.9147,149.8524328,119.6131001,25.0491,5.190232719
 01/08  09:00:00,42.59271997,4.804718302,0.00056545,0,9.179850659,26.9147,139.9797418,101.3896682,33.3988,5.191273584
 01/08  10:00:00,35.10965005,4.804718302,0,0,9.179850659,19.4245,121.0771515,91.41125889,25.0491,4.616792596
 01/08  11:00:00,42.61500634,4.804718302,0.003215739,0,9.179850659,26.9147,136.1871032,78.16204904,41.7485,16.2765542
 01/08  12:00:00,43.39463107,4.804718302,0,0,9.179850659,26.9147,124.7879885,66.76387467,41.7485,16.27561384
 01/08  13:00:00,42.67606012,4.804718302,0,0,9.179850659,26.9147,108.308359,53.80686469,41.7485,12.75299431
 01/08  14:00:00,35.15070641,4.804718302,0,0,9.179850659,19.4245,97.32497081,51.17217044,33.3988,12.75400037
 01/08  15:00:00,35.14870532,4.804718302,0,0,9.179850659,19.4245,93.12062467,58.24075092,25.0491,9.830773754
 01/08  16:00:00,35.13637626,4.804718302,0,0,9.179850659,19.4245,106.6311912,63.40226681,33.3988,9.830124358
 01/08  17:00:00,43.6233794,4.804718302,0.002625319,0,9.179850659,26.9147,133.5631375,73.63409289,50.0982,9.830844595
 01/08  18:00:00,46.80602887,4.804718302,0,0,9.179850659,26.9147,147.9994495,85.14781281,50.0982,12.75343665
 01/08  19:00:00,46.80870889,4.804718302,0,0,9.179850659,26.9147,153.791422,87.99783624,50.0982,15.69538574
 01/08  20:00:00,39.4454538,4.804718302,0,0,9.179850659,19.4245,138.235396,88.56088106,33.3988,16.27571492
 01/08  21:00:00,39.42459271,4.804718302,0,0,9.179850659,19.4245,133.310043,87.15827554,33.3988,12.75296748
 01/08  22:00:00,39.3538237,4.804718302,0,0,9.179850659,19.4245,139.5709417,98.24730244,25.0491,16.27453924
 01/08  23:00:00,39.24379341,4.804718302,0,0,9.179850659,19.4245,134.4165772,104.9641789,16.6994,12.75299829
 01/08  24:00:00,40.05201222,4.804718302,0,0,9.179850659,19.4245,122.4975781,107.2245398,8.3497,6.923338323
 01/09  01:00:00,23.28878688,4.804718302,0.001511186,0,4.58992533,8.1892,131.2901479,121.601062,3.33988,6.349205892
 01/09  02:00:00,14.63147498,0,0,0,1.52997511,7.4902,3.93195494,0,3.33988,0.59207494
 01/09  03:00:00,14.64581981,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
 01/09  04:00:00,14.65446835,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
 01/09  05:00:00,14.80103438,0,0,0,1.52997511,7.4902,3.931934977,0,3.33988,0.592054977
 01/09  06:00:00,23.38693278,4.804718302,0.009201868,0,4.58992533,8.1892,153.4473676,145.0776676,8.3497,0.02
 01/09  07:00:00,39.35202904,4.804718302,0.012428287,0,9.179850659,19.4245,162.0475581,140.1578342,16.6994,5.190323895
 01/09  08:00:00,43.64771102,4.804718302,0.012699066,0,9.179850659,26.9147,172.9827952,128.6975054,25.0491,19.23618975
 01/09  09:00:00,42.59944237,4.804718302,0.000620754,0,9.179850659,26.9147,163.1996339,112.3379794,33.3988,17.46285448
 01/09  10:00:00,35.11936142,4.804718302,0,0,9.179850659,19.4245,133.9704498,94.409052,25.0491,14.51229781
 01/09  11:00:00,42.61545292,4.804718302,0.002014817,0,9.179850659,26.9147,138.9886563,83.90667416,41.7485,13.33348218
 01/09  12:00:00,43.38934613,4.804718302,0,0,9.179850659,26.9147,124.292192,68.03073862,41.7485,14.51295341
 01/09  13:00:00,42.67308459,4.804718302,0,0,9.179850659,26.9147,110.2305361,55.72792581,41.7485,12.75411033
 01/09  14:00:00,35.14345555,4.804718302,0,0,9.179850659,19.4245,99.48239092,55.08515078,33.3988,10.99844014
 01/09  15:00:00,35.14162261,4.804718302,0,0,9.179850659,19.4245,94.2772819,59.39780916,25.0491,9.830372743
 01/09  16:00:00,35.1293096,4.804718302,0,0,9.179850659,19.4245,108.0202064,64.79184425,33.3988,9.829562202
 01/09  17:00:00,43.61842387,4.804718302,0.003313873,0,9.179850659,26.9147,129.4244373,69.49561134,50.0982,9.830626001
 01/09  18:00:00,46.80438379,4.804718302,0,0,9.179850659,26.9147,144.2024343,81.35094522,50.0982,12.75328909
 01/09  19:00:00,46.80925363,4.804718302,0,0,9.179850659,26.9147,153.2240071,85.07899392,50.0982,18.04681317
 01/09  20:00:00,39.4473821,4.804718302,0,0,9.179850659,19.4245,138.5760327,85.93860471,33.3988,19.23862803
 01/09  21:00:00,39.42529382,4.804718302,0,0,9.179850659,19.4245,142.9483902,93.85514817,33.3988,15.69444206
 01/09  22:00:00,39.35234123,4.804718302,0,0,9.179850659,19.4245,152.3825568,109.2875931,25.0491,18.04586368
 01/09  23:00:00,39.24160021,4.804718302,0,0,9.179850659,19.4245,148.5026599,117.2915046,16.6994,14.51175529
 01/09  24:00:00,40.04898057,4.804718302,0,0,9.179850659,19.4245,139.9312676,123.4949285,8.3497,8.086639119
 01/10  01:00:00,23.2837585,4.804718302,0,0,4.58992533,8.1892,140.0661597,130.3782232,3.33988,6.348056498
 01/10  02:00:00,14.62171591,0,0,0,1.52997511,7.4902,3.931968458,0,3.33988,0.592088458
 01/10  03:00:00,14.63392841,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
 01/10  04:00:00,14.64398112,0,0,0,1.52997511,7.4902,3.931974333,0,3.33988,0.592094333
 01/10  05:00:00,15.30923323,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
 01/10  06:00:00,23.89471369,4.804718302,0.007417627,0,4.58992533,8.1892,155.5697558,146.6280073,8.3497,0.592048483
 01/10  07:00:00,39.57908208,4.804718302,0.01229732,0,9.179850659,19.4245,162.3283302,141.0136766,16.6994,4.61525362
 01/10  08:00:00,43.64665406,4.804718302,0.013554704,0,9.179850659,26.9147,174.9364305,130.648813,25.0491,19.23851749
 01/10  09:00:00,42.59775155,4.804718302,0.000626151,0,9.179850659,26.9147,165.6767279,114.23177,33.3988,18.04615792
