,1,2,3,4,5,6,7,pre
0,6.3,6.6,6.9,6.0,7.5,6.6,7.2,5.4
1,6.6,6.9,6.0,7.5,6.6,7.2,5.4,7.2
2,6.9,6.0,7.5,6.6,7.2,5.4,7.2,8.1
3,6.0,7.5,6.6,7.2,5.4,7.2,8.1,6.0
4,7.5,6.6,7.2,5.4,7.2,8.1,6.0,6.3
5,6.6,7.2,5.4,7.2,8.1,6.0,6.3,6.6
6,7.2,5.4,7.2,8.1,6.0,6.3,6.6,7.5
7,5.4,7.2,8.1,6.0,6.3,6.6,7.5,6.3
8,7.2,8.1,6.0,6.3,6.6,7.5,6.3,7.5
9,8.1,6.0,6.3,6.6,7.5,6.3,7.5,7.2
10,6.0,6.3,6.6,7.5,6.3,7.5,7.2,6.0
11,6.3,6.6,7.5,6.3,7.5,7.2,6.0,9.0
12,6.6,7.5,6.3,7.5,7.2,6.0,9.0,6.3
13,7.5,6.3,7.5,7.2,6.0,9.0,6.3,7.2
14,6.3,7.5,7.2,6.0,9.0,6.3,7.2,7.2
15,7.5,7.2,6.0,9.0,6.3,7.2,7.2,7.8
16,7.2,6.0,9.0,6.3,7.2,7.2,7.8,8.4
17,6.0,9.0,6.3,7.2,7.2,7.8,8.4,3.3
18,9.0,6.3,7.2,7.2,7.8,8.4,3.3,4.8
19,6.3,7.2,7.2,7.8,8.4,3.3,4.8,6.0
20,7.2,7.2,7.8,8.4,3.3,4.8,6.0,4.5
21,7.2,7.8,8.4,3.3,4.8,6.0,4.5,3.9
22,7.8,8.4,3.3,4.8,6.0,4.5,3.9,4.2
23,8.4,3.3,4.8,6.0,4.5,3.9,4.2,2.4
24,3.3,4.8,6.0,4.5,3.9,4.2,2.4,2.1
25,4.8,6.0,4.5,3.9,4.2,2.4,2.1,2.1
26,6.0,4.5,3.9,4.2,2.4,2.1,2.1,1.8
27,4.5,3.9,4.2,2.4,2.1,2.1,1.8,3.0
28,3.9,4.2,2.4,2.1,2.1,1.8,3.0,3.6
29,4.2,2.4,2.1,2.1,1.8,3.0,3.6,3.0
30,2.4,2.1,2.1,1.8,3.0,3.6,3.0,4.8
31,2.1,2.1,1.8,3.0,3.6,3.0,4.8,9.3
32,2.1,1.8,3.0,3.6,3.0,4.8,9.3,8.1
33,1.8,3.0,3.6,3.0,4.8,9.3,8.1,8.4
34,3.0,3.6,3.0,4.8,9.3,8.1,8.4,8.4
35,3.6,3.0,4.8,9.3,8.1,8.4,8.4,7.5
36,3.0,4.8,9.3,8.1,8.4,8.4,7.5,8.1
37,4.8,9.3,8.1,8.4,8.4,7.5,8.1,7.2
38,9.3,8.1,8.4,8.4,7.5,8.1,7.2,8.4
39,8.1,8.4,8.4,7.5,8.1,7.2,8.4,6.9
40,8.4,8.4,7.5,8.1,7.2,8.4,6.9,6.0
41,8.4,7.5,8.1,7.2,8.4,6.9,6.0,6.9
42,7.5,8.1,7.2,8.4,6.9,6.0,6.9,8.4
43,8.1,7.2,8.4,6.9,6.0,6.9,8.4,8.1
44,7.2,8.4,6.9,6.0,6.9,8.4,8.1,7.8
45,8.4,6.9,6.0,6.9,8.4,8.1,7.8,7.5
46,6.9,6.0,6.9,8.4,8.1,7.8,7.5,9.6
47,6.0,6.9,8.4,8.1,7.8,7.5,9.6,6.3
48,6.9,8.4,8.1,7.8,7.5,9.6,6.3,6.6
49,8.4,8.1,7.8,7.5,9.6,6.3,6.6,5.7
50,8.1,7.8,7.5,9.6,6.3,6.6,5.7,5.7
51,7.8,7.5,9.6,6.3,6.6,5.7,5.7,4.2
52,7.5,9.6,6.3,6.6,5.7,5.7,4.2,5.1
53,9.6,6.3,6.6,5.7,5.7,4.2,5.1,7.2
54,6.3,6.6,5.7,5.7,4.2,5.1,7.2,6.9
55,6.6,5.7,5.7,4.2,5.1,7.2,6.9,4.2
56,5.7,5.7,4.2,5.1,7.2,6.9,4.2,3.9
57,5.7,4.2,5.1,7.2,6.9,4.2,3.9,6.3
58,4.2,5.1,7.2,6.9,4.2,3.9,6.3,6.0
59,5.1,7.2,6.9,4.2,3.9,6.3,6.0,5.4
60,7.2,6.9,4.2,3.9,6.3,6.0,5.4,6.3
61,6.9,4.2,3.9,6.3,6.0,5.4,6.3,4.8
62,4.2,3.9,6.3,6.0,5.4,6.3,4.8,3.9
63,3.9,6.3,6.0,5.4,6.3,4.8,3.9,3.0
64,6.3,6.0,5.4,6.3,4.8,3.9,3.0,6.0
