,1,2,3,4,5,6,7,pre
0,6.0,7.2,5.4,5.7,7.2,6.6,6.3,5.7
1,7.2,5.4,5.7,7.2,6.6,6.3,5.7,7.2
2,5.4,5.7,7.2,6.6,6.3,5.7,7.2,7.8
3,5.7,7.2,6.6,6.3,5.7,7.2,7.8,5.4
4,7.2,6.6,6.3,5.7,7.2,7.8,5.4,5.4
5,6.6,6.3,5.7,7.2,7.8,5.4,5.4,6.9
6,6.3,5.7,7.2,7.8,5.4,5.4,6.9,7.5
7,5.7,7.2,7.8,5.4,5.4,6.9,7.5,6.3
8,7.2,7.8,5.4,5.4,6.9,7.5,6.3,7.5
9,7.8,5.4,5.4,6.9,7.5,6.3,7.5,7.2
10,5.4,5.4,6.9,7.5,6.3,7.5,7.2,6.6
11,5.4,6.9,7.5,6.3,7.5,7.2,6.6,8.7
12,6.9,7.5,6.3,7.5,7.2,6.6,8.7,6.6
13,7.5,6.3,7.5,7.2,6.6,8.7,6.6,7.2
14,6.3,7.5,7.2,6.6,8.7,6.6,7.2,7.2
15,7.5,7.2,6.6,8.7,6.6,7.2,7.2,7.2
16,7.2,6.6,8.7,6.6,7.2,7.2,7.2,8.4
17,6.6,8.7,6.6,7.2,7.2,7.2,8.4,3.6
18,8.7,6.6,7.2,7.2,7.2,8.4,3.6,5.1
19,6.6,7.2,7.2,7.2,8.4,3.6,5.1,5.1
20,7.2,7.2,7.2,8.4,3.6,5.1,5.1,5.1
21,7.2,7.2,8.4,3.6,5.1,5.1,5.1,4.2
22,7.2,8.4,3.6,5.1,5.1,5.1,4.2,3.9
23,8.4,3.6,5.1,5.1,5.1,4.2,3.9,2.4
24,3.6,5.1,5.1,5.1,4.2,3.9,2.4,3.0
25,5.1,5.1,5.1,4.2,3.9,2.4,3.0,2.1
26,5.1,5.1,4.2,3.9,2.4,3.0,2.1,1.5
27,5.1,4.2,3.9,2.4,3.0,2.1,1.5,3.6
28,4.2,3.9,2.4,3.0,2.1,1.5,3.6,3.6
29,3.9,2.4,3.0,2.1,1.5,3.6,3.6,2.4
30,2.4,3.0,2.1,1.5,3.6,3.6,2.4,4.5
31,3.0,2.1,1.5,3.6,3.6,2.4,4.5,8.4
32,2.1,1.5,3.6,3.6,2.4,4.5,8.4,6.9
33,1.5,3.6,3.6,2.4,4.5,8.4,6.9,8.4
34,3.6,3.6,2.4,4.5,8.4,6.9,8.4,8.7
35,3.6,2.4,4.5,8.4,6.9,8.4,8.7,6.6
36,2.4,4.5,8.4,6.9,8.4,8.7,6.6,6.9
37,4.5,8.4,6.9,8.4,8.7,6.6,6.9,6.0
38,8.4,6.9,8.4,8.7,6.6,6.9,6.0,7.8
39,6.9,8.4,8.7,6.6,6.9,6.0,7.8,5.4
40,8.4,8.7,6.6,6.9,6.0,7.8,5.4,5.1
41,8.7,6.6,6.9,6.0,7.8,5.4,5.1,6.0
42,6.6,6.9,6.0,7.8,5.4,5.1,6.0,7.2
43,6.9,6.0,7.8,5.4,5.1,6.0,7.2,7.8
44,6.0,7.8,5.4,5.1,6.0,7.2,7.8,6.9
45,7.8,5.4,5.1,6.0,7.2,7.8,6.9,7.2
46,5.4,5.1,6.0,7.2,7.8,6.9,7.2,8.1
47,5.1,6.0,7.2,7.8,6.9,7.2,8.1,5.4
48,6.0,7.2,7.8,6.9,7.2,8.1,5.4,5.1
49,7.2,7.8,6.9,7.2,8.1,5.4,5.1,4.5
50,7.8,6.9,7.2,8.1,5.4,5.1,4.5,5.7
51,6.9,7.2,8.1,5.4,5.1,4.5,5.7,4.2
52,7.2,8.1,5.4,5.1,4.5,5.7,4.2,5.4
53,8.1,5.4,5.1,4.5,5.7,4.2,5.4,6.9
54,5.4,5.1,4.5,5.7,4.2,5.4,6.9,5.1
55,5.1,4.5,5.7,4.2,5.4,6.9,5.1,4.2
56,4.5,5.7,4.2,5.4,6.9,5.1,4.2,3.9
57,5.7,4.2,5.4,6.9,5.1,4.2,3.9,5.7
58,4.2,5.4,6.9,5.1,4.2,3.9,5.7,6.3
59,5.4,6.9,5.1,4.2,3.9,5.7,6.3,6.0
60,6.9,5.1,4.2,3.9,5.7,6.3,6.0,5.1
61,5.1,4.2,3.9,5.7,6.3,6.0,5.1,4.5
62,4.2,3.9,5.7,6.3,6.0,5.1,4.5,3.6
63,3.9,5.7,6.3,6.0,5.1,4.5,3.6,3.0
64,5.7,6.3,6.0,5.1,4.5,3.6,3.0,5.1
65,6.3,6.0,5.1,4.5,3.6,3.0,5.1,6.3
66,6.0,5.1,4.5,3.6,3.0,5.1,6.3,5.7
67,5.1,4.5,3.6,3.0,5.1,6.3,5.7,3.6
68,4.5,3.6,3.0,5.1,6.3,5.7,3.6,4.2
69,3.6,3.0,5.1,6.3,5.7,3.6,4.2,2.4
70,3.0,5.1,6.3,5.7,3.6,4.2,2.4,3.3
71,5.1,6.3,5.7,3.6,4.2,2.4,3.3,5.7
72,6.3,5.7,3.6,4.2,2.4,3.3,5.7,3.9
73,5.7,3.6,4.2,2.4,3.3,5.7,3.9,4.5
74,3.6,4.2,2.4,3.3,5.7,3.9,4.5,3.9
75,4.2,2.4,3.3,5.7,3.9,4.5,3.9,3.3
76,2.4,3.3,5.7,3.9,4.5,3.9,3.3,3.6
77,3.3,5.7,3.9,4.5,3.9,3.3,3.6,2.4
78,5.7,3.9,4.5,3.9,3.3,3.6,2.4,4.2
79,3.9,4.5,3.9,3.3,3.6,2.4,4.2,4.2
80,4.5,3.9,3.3,3.6,2.4,4.2,4.2,3.3
81,3.9,3.3,3.6,2.4,4.2,4.2,3.3,3.9
82,3.3,3.6,2.4,4.2,4.2,3.3,3.9,3.9
83,3.6,2.4,4.2,4.2,3.3,3.9,3.9,3.0
84,2.4,4.2,4.2,3.3,3.9,3.9,3.0,2.1
85,4.2,4.2,3.3,3.9,3.9,3.0,2.1,2.1
86,4.2,3.3,3.9,3.9,3.0,2.1,2.1,2.4
87,3.3,3.9,3.9,3.0,2.1,2.1,2.4,3.6
88,3.9,3.9,3.0,2.1,2.1,2.4,3.6,3.3
89,3.9,3.0,2.1,2.1,2.4,3.6,3.3,2.1
