,1,2,3,4,5,6,7,pre
0,6.3,4.8,5.4,5.8537,4.8,4.8,6.0,6.6
1,4.8,5.4,5.8537,4.8,4.8,6.0,6.6,6.9
2,5.4,5.8537,4.8,4.8,6.0,6.6,6.9,6.9
3,5.8537,4.8,4.8,6.0,6.6,6.9,6.9,7.2
4,4.8,4.8,6.0,6.6,6.9,6.9,7.2,6.9
5,4.8,6.0,6.6,6.9,6.9,7.2,6.9,6.9279
6,6.0,6.6,6.9,6.9,7.2,6.9,6.9279,7.8
7,6.6,6.9,6.9,7.2,6.9,6.9279,7.8,6.9
8,6.9,6.9,7.2,6.9,6.9279,7.8,6.9,7.8
9,6.9,7.2,6.9,6.9279,7.8,6.9,7.8,6.6
10,7.2,6.9,6.9279,7.8,6.9,7.8,6.6,6.3
11,6.9,6.9279,7.8,6.9,7.8,6.6,6.3,6.6
12,6.9279,7.8,6.9,7.8,6.6,6.3,6.6,6.3
13,7.8,6.9,7.8,6.6,6.3,6.6,6.3,6.6
14,6.9,7.8,6.6,6.3,6.6,6.3,6.6,6.3
15,7.8,6.6,6.3,6.6,6.3,6.6,6.3,6.3
16,6.6,6.3,6.6,6.3,6.6,6.3,6.3,6.0
17,6.3,6.6,6.3,6.6,6.3,6.3,6.0,5.1
18,6.6,6.3,6.6,6.3,6.3,6.0,5.1,5.1
19,6.3,6.6,6.3,6.3,6.0,5.1,5.1,6.0
20,6.6,6.3,6.3,6.0,5.1,5.1,6.0,5.7
21,6.3,6.3,6.0,5.1,5.1,6.0,5.7,3.3
22,6.3,6.0,5.1,5.1,6.0,5.7,3.3,4.5
23,6.0,5.1,5.1,6.0,5.7,3.3,4.5,3.3
24,5.1,5.1,6.0,5.7,3.3,4.5,3.3,3.0
25,5.1,6.0,5.7,3.3,4.5,3.3,3.0,2.3084
26,6.0,5.7,3.3,4.5,3.3,3.0,2.3084,3.0
27,5.7,3.3,4.5,3.3,3.0,2.3084,3.0,4.5
28,3.3,4.5,3.3,3.0,2.3084,3.0,4.5,5.1
29,4.5,3.3,3.0,2.3084,3.0,4.5,5.1,4.5
30,3.3,3.0,2.3084,3.0,4.5,5.1,4.5,5.7
31,3.0,2.3084,3.0,4.5,5.1,4.5,5.7,6.6
32,2.3084,3.0,4.5,5.1,4.5,5.7,6.6,6.3
33,3.0,4.5,5.1,4.5,5.7,6.6,6.3,6.9
34,4.5,5.1,4.5,5.7,6.6,6.3,6.9,7.5
35,5.1,4.5,5.7,6.6,6.3,6.9,7.5,7.5
36,4.5,5.7,6.6,6.3,6.9,7.5,7.5,7.2
37,5.7,6.6,6.3,6.9,7.5,7.5,7.2,8.1
38,6.6,6.3,6.9,7.5,7.5,7.2,8.1,6.9
39,6.3,6.9,7.5,7.5,7.2,8.1,6.9,6.9
40,6.9,7.5,7.5,7.2,8.1,6.9,6.9,7.5
41,7.5,7.5,7.2,8.1,6.9,6.9,7.5,8.1
42,7.5,7.2,8.1,6.9,6.9,7.5,8.1,8.4
43,7.2,8.1,6.9,6.9,7.5,8.1,8.4,7.8
44,8.1,6.9,6.9,7.5,8.1,8.4,7.8,7.2
45,6.9,6.9,7.5,8.1,8.4,7.8,7.2,5.7
46,6.9,7.5,8.1,8.4,7.8,7.2,5.7,6.0
47,7.5,8.1,8.4,7.8,7.2,5.7,6.0,6.6
48,8.1,8.4,7.8,7.2,5.7,6.0,6.6,5.7
49,8.4,7.8,7.2,5.7,6.0,6.6,5.7,5.7
50,7.8,7.2,5.7,6.0,6.6,5.7,5.7,4.2
51,7.2,5.7,6.0,6.6,5.7,5.7,4.2,6.0
52,5.7,6.0,6.6,5.7,5.7,4.2,6.0,6.0
53,6.0,6.6,5.7,5.7,4.2,6.0,6.0,5.7
54,6.6,5.7,5.7,4.2,6.0,6.0,5.7,4.8
55,5.7,5.7,4.2,6.0,6.0,5.7,4.8,6.0
56,5.7,4.2,6.0,6.0,5.7,4.8,6.0,6.9
57,4.2,6.0,6.0,5.7,4.8,6.0,6.9,7.5
58,6.0,6.0,5.7,4.8,6.0,6.9,7.5,6.0
59,6.0,5.7,4.8,6.0,6.9,7.5,6.0,6.0
60,5.7,4.8,6.0,6.9,7.5,6.0,6.0,5.7
61,4.8,6.0,6.9,7.5,6.0,6.0,5.7,5.4
62,6.0,6.9,7.5,6.0,6.0,5.7,5.4,5.7
63,6.9,7.5,6.0,6.0,5.7,5.4,5.7,4.8
64,7.5,6.0,6.0,5.7,5.4,5.7,4.8,7.2
65,6.0,6.0,5.7,5.4,5.7,4.8,7.2,4.8
66,6.0,5.7,5.4,5.7,4.8,7.2,4.8,3.9
67,5.7,5.4,5.7,4.8,7.2,4.8,3.9,3.6
68,5.4,5.7,4.8,7.2,4.8,3.9,3.6,2.7
69,5.7,4.8,7.2,4.8,3.9,3.6,2.7,2.1
70,4.8,7.2,4.8,3.9,3.6,2.7,2.1,5.1
71,7.2,4.8,3.9,3.6,2.7,2.1,5.1,7.2
72,4.8,3.9,3.6,2.7,2.1,5.1,7.2,5.7
73,3.9,3.6,2.7,2.1,5.1,7.2,5.7,4.5
74,3.6,2.7,2.1,5.1,7.2,5.7,4.5,3.9
75,2.7,2.1,5.1,7.2,5.7,4.5,3.9,1.8
76,2.1,5.1,7.2,5.7,4.5,3.9,1.8,1.8
77,5.1,7.2,5.7,4.5,3.9,1.8,1.8,2.7
78,7.2,5.7,4.5,3.9,1.8,1.8,2.7,3.3
79,5.7,4.5,3.9,1.8,1.8,2.7,3.3,2.4
80,4.5,3.9,1.8,1.8,2.7,3.3,2.4,3.3
81,3.9,1.8,1.8,2.7,3.3,2.4,3.3,4.2
82,1.8,1.8,2.7,3.3,2.4,3.3,4.2,2.1
83,1.8,2.7,3.3,2.4,3.3,4.2,2.1,1.2
84,2.7,3.3,2.4,3.3,4.2,2.1,1.2,1.5
85,3.3,2.4,3.3,4.2,2.1,1.2,1.5,3.0
86,2.4,3.3,4.2,2.1,1.2,1.5,3.0,2.7
87,3.3,4.2,2.1,1.2,1.5,3.0,2.7,3.9
88,4.2,2.1,1.2,1.5,3.0,2.7,3.9,4.2
89,2.1,1.2,1.5,3.0,2.7,3.9,4.2,2.7
90,1.2,1.5,3.0,2.7,3.9,4.2,2.7,2.4
91,1.5,3.0,2.7,3.9,4.2,2.7,2.4,1.5
92,3.0,2.7,3.9,4.2,2.7,2.4,1.5,1.5
93,2.7,3.9,4.2,2.7,2.4,1.5,1.5,1.8
94,3.9,4.2,2.7,2.4,1.5,1.5,1.8,3.6
95,4.2,2.7,2.4,1.5,1.5,1.8,3.6,3.6
96,2.7,2.4,1.5,1.5,1.8,3.6,3.6,2.1
97,2.4,1.5,1.5,1.8,3.6,3.6,2.1,1.8
98,1.5,1.5,1.8,3.6,3.6,2.1,1.8,1.8
99,1.5,1.8,3.6,3.6,2.1,1.8,1.8,1.8
100,1.8,3.6,3.6,2.1,1.8,1.8,1.8,2.1
101,3.6,3.6,2.1,1.8,1.8,1.8,2.1,2.4
102,3.6,2.1,1.8,1.8,1.8,2.1,2.4,3.3
103,2.1,1.8,1.8,1.8,2.1,2.4,3.3,2.7
104,1.8,1.8,1.8,2.1,2.4,3.3,2.7,1.8
105,1.8,1.8,2.1,2.4,3.3,2.7,1.8,3.0
106,1.8,2.1,2.4,3.3,2.7,1.8,3.0,3.0
107,2.1,2.4,3.3,2.7,1.8,3.0,3.0,2.4
108,2.4,3.3,2.7,1.8,3.0,3.0,2.4,3.3
109,3.3,2.7,1.8,3.0,3.0,2.4,3.3,3.3
110,2.7,1.8,3.0,3.0,2.4,3.3,3.3,3.9
111,1.8,3.0,3.0,2.4,3.3,3.3,3.9,2.1
112,3.0,3.0,2.4,3.3,3.3,3.9,2.1,3.0
113,3.0,2.4,3.3,3.3,3.9,2.1,3.0,2.4
114,2.4,3.3,3.3,3.9,2.1,3.0,2.4,1.2
115,3.3,3.3,3.9,2.1,3.0,2.4,1.2,2.7
116,3.3,3.9,2.1,3.0,2.4,1.2,2.7,1.5
117,3.9,2.1,3.0,2.4,1.2,2.7,1.5,3.0
118,2.1,3.0,2.4,1.2,2.7,1.5,3.0,2.7
119,3.0,2.4,1.2,2.7,1.5,3.0,2.7,1.2
120,2.4,1.2,2.7,1.5,3.0,2.7,1.2,1.2
121,1.2,2.7,1.5,3.0,2.7,1.2,1.2,2.4
122,2.7,1.5,3.0,2.7,1.2,1.2,2.4,2.4
123,1.5,3.0,2.7,1.2,1.2,2.4,2.4,2.7
124,3.0,2.7,1.2,1.2,2.4,2.4,2.7,2.4
125,2.7,1.2,1.2,2.4,2.4,2.7,2.4,3.3
126,1.2,1.2,2.4,2.4,2.7,2.4,3.3,2.1
127,1.2,2.4,2.4,2.7,2.4,3.3,2.1,2.1
128,2.4,2.4,2.7,2.4,3.3,2.1,2.1,1.5
129,2.4,2.7,2.4,3.3,2.1,2.1,1.5,1.5
130,2.7,2.4,3.3,2.1,2.1,1.5,1.5,1.8
131,2.4,3.3,2.1,2.1,1.5,1.5,1.8,1.8
132,3.3,2.1,2.1,1.5,1.5,1.8,1.8,1.2
