ycid,time,a,b,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,sum
1923270,2014/1/11,1,1.11111E+95,6.3,5.4,6.6,5.7,6.3,5.4,6,5.4,6.6,6.3,6.9,5.7,8.1,8.1,7.5,7.8,6.9,7.8,7.5,8.4,8.4,8.1,7.8,8.4,5.7,6.9,6,6.3,5.4,5.4,5.1,5.1,4.5,5.1,4.8,6,6,6.9,6.3,7.5,7.2,8.4,7.2,7.2,6.6,6.3,5.7,6.3,5.4,6.6,6,6.9,6,6.6,5.7,6.6,5.4,6,5.7,6.3,5.7,6.6,6,6.9,6.6,8.1,7.2,8.4,7.5,8.7,6.3,7.2,5.7,6.9,6,6.9,6.3,6.9,5.7,7.2,7.2,9,7.5,7.8,6.9,8.4,6.9,8.1,6,6.6,5.1,5.7,5.1,5.4,4.8,5.4,631.2
1923270,2014/1/12,1,1.11111E+95,5.4,6,5.4,6,5.1,5.7,5.7,7.8,6.9,7.5,6.9,7.5,6.3,7.8,6.6,7.5,7.8,8.7,6.9,7.8,6,7.2,6.6,7.5,5.7,7.2,6.3,7.2,5.4,6,5.1,5.7,5.7,8.1,6.3,7.2,6.3,6.6,6.3,7.2,7.2,9.3,7.5,8.4,7.2,6.9,6.3,6.6,6.3,7.5,6.6,7.2,6.3,6.9,5.7,6,5.1,6,4.8,5.7,5.1,5.7,5.7,6.9,6.6,7.8,6.9,8.7,7.5,8.1,7.5,7.2,6.3,7.2,6,6.6,6.3,6.9,6.3,6.9,6,7.2,6.3,7.2,6.3,7.2,6.6,7.5,6.3,7.2,6.3,7.5,6.3,6.9,6,6.6,642
1923270,2014/1/13,1,1.11111E+95,5.4,6,5.7,6.3,5.1,5.4,4.8,5.7,4.2,5.1,4.5,6,5.1,6.9,5.7,6.6,6.3,7.5,7.2,7.2,7.2,7.2,6,7.2,6.6,7.5,6.6,7.5,6.9,7.5,6.9,7.2,7.2,7.8,6.9,7.8,7.2,8.4,6.9,7.8,6.6,8.4,7.5,9,6.6,7.2,6.3,7.2,5.7,6.3,5.7,6,5.1,6.3,6.6,7.5,6.6,7.8,6.3,7.5,6.3,7.5,6.3,7.8,7.2,8.7,7.5,9,7.5,8.7,7.8,9,7.8,8.1,6.9,7.8,6.9,7.8,6.9,6.9279,6.9328,7.8,6.9,6.9579,6.9717,7.5,6.9,6.9932,6.9914,7.8,7.2,7.8,7.5,8.7,7.2,8.7,668.47
1923270,2014/1/14,1,1.11111E+95,7.2,8.7,6.9,8.1,6.6,7.2,6,7.2,6.3,6.3,5.4,6.3,6.6,7.2,6.6,6.9,6,8.1,7.2,8.1,6.9,9.9,7.5,7.8,6.3,8.1,7.5,8.1,7.5,7.8,6.6,7.2,6.6,8.4,7.2,8.1,7.8,8.1,6.9,8.1,6.3,7.5,6.9,6.9,5.1,6.3,5.4,6.3,5.1,5.7,5.1,5.4,5.1,6.3,6,6.3,5.4,6.9,5.7,6.3,6,6.9,5.4,6.9,6.3,8.4,7.5,7.8,6.3,6.9,6.3,7.2,6.3,6.9,6.6,7.8,6.3,7.8,6.6,7.8,6.6,7.8,6.6,7.5,6.9,7.8,6.9,7.5,6.9,7.2,6.6,7.8,6.9,8.1,6,6.6,663
1923270,2014/1/15,1,1.11111E+95,5.7,6.6,5.7,6.3,5.1,6,5.7,6.6,5.4,6.6,6.6,8.1,8.7,9.6,9,9.9,8.4,9.6,7.8,8.4,7.5,9,8.1,6.6,6.6,7.2,6.3,7.2,6.3,6.6,6.3,6.9,6,9,7.5,9.3,7.2,8.7,7.8,8.7,7.2,7.8,7.5,7.2,6,6.3,5.4,6.9,5.4,6,4.8,6,4.8,6.6,5.4,6.9,5.7,6.3,5.1,6,5.7,6.3,5.7,6.6,5.7,6.9,6.9,8.4,6.9,7.5,6.6,7.5,6.3,7.2,6.6,6.9,6.3,7.5,6.3,6.9,6.6,7.2,6.3,7.2,6.6,7.2,6.6,6.9,6.3,7.8,6,7.2,7.2,7.8,6.6,8.1,664.2
1923270,2014/1/16,1,1.11111E+95,6.9,8.1,7.5,8.1,7.2,7.8,6.6,6.9,6,6.9,6,7.5,6.9,8.1,7.2,7.5,6.3,8.1,7.5,8.7,8.1,9.6,8.1,8.4,6.9,7.8,7.5,8.1,7.5,8.1,7.2,7.5,7.5,8.1,7.2,8.7,7.2,7.2,6.3,7.8,6.6,8.7,7.5,9,7.5,7.5,6.9,6.6,5.4,7.2,5.1,6,5.4,6,5.4,5.7,5.1,6.3,5.1,6.9,5.4,6.9,6,6.6,5.7,7.5,6.3,8.1,7.5,7.2,6.6,6.9,6.6,7.5,6.9,7.8,7.2,8.1,6.3,7.8,6.3,7.5,6.6,6.9,6,6.6,6,6.9,5.7,6.6,6,6.6,6.3,6.6,6.3,8.1,674.4
1923270,2014/1/17,1,1.11111E+95,7.2,9,8.1,9,8.1,7.8,5.7,6.9,5.7,6.3,5.4,6.3,6.6,7.8,6.9,6.9,6.6,8.7,6.6,8.1,7.8,8.4,6.9,7.5,6.9,8.1,7.2,7.8,7.2,7.8,7.2,8.1,6.6,6.6,6,6.9,6,7.2,6.3,7.2,6.9,7.8,7.5,9,8.1,7.8,7.2,8.4,7.2,8.4,6.6,7.8,6.6,7.2,6.3,7.2,6.3,7.2,6.3,6.9,6,6.9,5.7,6.9,6,7.8,6.3,8.4,7.5,7.8,5.4,6.6,5.7,6.9,5.7,6.6,5.7,6.9,5.4,6.6,5.4,7.8,6.6,7.5,6.6,7.5,6.6,7.5,6.6,7.5,6.6,7.8,6.9,7.8,7.2,7.5,678.3
1923270,2014/1/18,1,1.11111E+95,6.6,7.5,6.3,7.5,6,6.6,5.1,5.7,5.1,5.4,5.1,5.7,5.4,7.5,6.3,6.9,6,7.2,7.2,8.1,7.5,8.4,7.2,7.5,6.6,7.8,6,7.8,6.6,6.9,6.3,7.2,6.3,7.2,6.9,8.7,7.5,7.8,6.9,7.8,7.2,9.3,7.8,9,7.8,7.8,6.6,7.5,6.3,7.5,6.9,7.5,6.3,6,5.4,5.4,6,5.1,6,5.1,5.4,5.4,6,6,7.5,7.8,9,8.1,9,6.6,7.5,6.3,7.5,6.6,6.9,6.3,7.2,6.3,7.5,6.3,7.5,6.3,7.5,6.9,7.2,6.6,7.2,6.3,8.1,6.9,7.5,6.9,7.8,6.6,7.5,6.6,661.2
1923270,2014/1/19,1,1.11111E+95,7.2,6.3,7.5,6.6,7.2,6.3,7.2,6.6,6.9,6.6,7.8,6.3,6.9,6.6,7.2,6.6,7.5,6.3,7.5,6.6,7.2,6.3,8.4,7.2,8.1,8.1,9,7.5,8.7,7.5,9,7.5,8.7,6.9,8.4,7.2,8.4,7.2,8.1,6.9,8.1,7.8,9.9,9,9.3,7.5,8.4,7.5,8.1,6.9,7.2,6,6.6,5.7,6.6,5.4,6,5.4,6.3,5.4,6,5.4,6.3,5.4,6.3,5.4,7.2,5.1,6.6,4.8,5.7,4.8,5.7,4.5,5.4,4.8,5.4,5.7,6.6,6.6,7.5,6.6,8.1,6.6,8.1,6.6,8.1,6.3,7.2,6,6.9,6.3,6.9,6,7.2,6.3,661.5
1923270,2014/1/20,1,1.11111E+95,6.6,6,6.6,6,6.6,5.7,6.6,6,6.6,6,6.9,6.3,8.4,7.5,7.8,6,7.2,7.8,8.1,7.2,8.1,6.3,6.3,6,6,5.7,6.3,5.7,6.6,5.4,6.6,5.4,6.6,5.7,6,6,7.5,5.7,6.6,6,6.6,7.2,8.4,7.2,8.1,6.3,6.6,5.7,6.3,6,5.7,6.6,5.7,6.6,5.4,6.9,5.4,6.6,4.8,5.1,6,5.1,6,5.4,6.6,6.6,6.9,6,6.6,6,6.9,6,6.9,6.3,7.2,6.6,7.5,6.6,7.5,6.3,7.8,6.6,7.5,6.9,7.8,6.6,7.5,6.6,7.2,6.6,7.2,6.6,7.8,6.9,8.1,6.9,631.2
