,1,2,3,4,5,6,7,pre
93,3.9,1.8,3.0,2.4,4.2,2.342,3.9,3.0
94,1.8,3.0,2.4,4.2,2.342,3.9,3.0,3.0
95,3.0,2.4,4.2,2.342,3.9,3.0,3.0,3.3
96,2.4,4.2,2.342,3.9,3.0,3.0,3.3,2.4
97,4.2,2.342,3.9,3.0,3.0,3.3,2.4,2.1
98,2.342,3.9,3.0,3.0,3.3,2.4,2.1,3.9
99,3.9,3.0,3.0,3.3,2.4,2.1,3.9,3.0
100,3.0,3.0,3.3,2.4,2.1,3.9,3.0,3.3
101,3.0,3.3,2.4,2.1,3.9,3.0,3.3,4.2
102,3.3,2.4,2.1,3.9,3.0,3.3,4.2,3.9
103,2.4,2.1,3.9,3.0,3.3,4.2,3.9,3.0
104,2.1,3.9,3.0,3.3,4.2,3.9,3.0,3.6
105,3.9,3.0,3.3,4.2,3.9,3.0,3.6,3.6
106,3.0,3.3,4.2,3.9,3.0,3.6,3.6,2.7
107,3.3,4.2,3.9,3.0,3.6,3.6,2.7,1.5
108,4.2,3.9,3.0,3.6,3.6,2.7,1.5,2.1
109,3.9,3.0,3.6,3.6,2.7,1.5,2.1,2.4
110,3.0,3.6,3.6,2.7,1.5,2.1,2.4,2.4
111,3.6,3.6,2.7,1.5,2.1,2.4,2.4,1.8
112,3.6,2.7,1.5,2.1,2.4,2.4,1.8,3.0
113,2.7,1.5,2.1,2.4,2.4,1.8,3.0,1.2
114,1.5,2.1,2.4,2.4,1.8,3.0,1.2,0.9
115,2.1,2.4,2.4,1.8,3.0,1.2,0.9,2.4
116,2.4,2.4,1.8,3.0,1.2,0.9,2.4,1.2
117,2.4,1.8,3.0,1.2,0.9,2.4,1.2,3.6
118,1.8,3.0,1.2,0.9,2.4,1.2,3.6,1.5
119,3.0,1.2,0.9,2.4,1.2,3.6,1.5,1.2
120,1.2,0.9,2.4,1.2,3.6,1.5,1.2,1.2
121,0.9,2.4,1.2,3.6,1.5,1.2,1.2,2.7
122,2.4,1.2,3.6,1.5,1.2,1.2,2.7,1.5
123,1.2,3.6,1.5,1.2,1.2,2.7,1.5,2.7
124,3.6,1.5,1.2,1.2,2.7,1.5,2.7,2.4
125,1.5,1.2,1.2,2.7,1.5,2.7,2.4,3.6
126,1.2,1.2,2.7,1.5,2.7,2.4,3.6,2.7
127,1.2,2.7,1.5,2.7,2.4,3.6,2.7,1.8
128,2.7,1.5,2.7,2.4,3.6,2.7,1.8,1.2
129,1.5,2.7,2.4,3.6,2.7,1.8,1.2,2.1
130,2.7,2.4,3.6,2.7,1.8,1.2,2.1,1.5
131,2.4,3.6,2.7,1.8,1.2,2.1,1.5,2.1
132,3.6,2.7,1.8,1.2,2.1,1.5,2.1,2.7
133,2.7,1.8,1.2,2.1,1.5,2.1,2.7,2.4
134,1.8,1.2,2.1,1.5,2.1,2.7,2.4,1.5
135,1.2,2.1,1.5,2.1,2.7,2.4,1.5,1.5
136,2.1,1.5,2.1,2.7,2.4,1.5,1.5,1.5
137,1.5,2.1,2.7,2.4,1.5,1.5,1.5,3.0
138,2.1,2.7,2.4,1.5,1.5,1.5,3.0,3.3
139,2.7,2.4,1.5,1.5,1.5,3.0,3.3,3.3
140,2.4,1.5,1.5,1.5,3.0,3.3,3.3,3.0
141,1.5,1.5,1.5,3.0,3.3,3.3,3.0,4.2
142,1.5,1.5,3.0,3.3,3.3,3.0,4.2,4.2
143,1.5,3.0,3.3,3.3,3.0,4.2,4.2,3.0
144,3.0,3.3,3.3,3.0,4.2,4.2,3.0,1.2
145,3.3,3.3,3.0,4.2,4.2,3.0,1.2,1.8
146,3.3,3.0,4.2,4.2,3.0,1.2,1.8,2.4
147,3.0,4.2,4.2,3.0,1.2,1.8,2.4,2.1
148,4.2,4.2,3.0,1.2,1.8,2.4,2.1,3.0
149,4.2,3.0,1.2,1.8,2.4,2.1,3.0,2.1
150,3.0,1.2,1.8,2.4,2.1,3.0,2.1,2.7
151,1.2,1.8,2.4,2.1,3.0,2.1,2.7,2.1
152,1.8,2.4,2.1,3.0,2.1,2.7,2.1,3.3
153,2.4,2.1,3.0,2.1,2.7,2.1,3.3,2.1
154,2.1,3.0,2.1,2.7,2.1,3.3,2.1,3.0
155,3.0,2.1,2.7,2.1,3.3,2.1,3.0,3.0
156,2.1,2.7,2.1,3.3,2.1,3.0,3.0,3.6
157,2.7,2.1,3.3,2.1,3.0,3.0,3.6,3.6
158,2.1,3.3,2.1,3.0,3.0,3.6,3.6,1.8
159,3.3,2.1,3.0,3.0,3.6,3.6,1.8,3.0
160,2.1,3.0,3.0,3.6,3.6,1.8,3.0,1.8
161,3.0,3.0,3.6,3.6,1.8,3.0,1.8,2.7
162,3.0,3.6,3.6,1.8,3.0,1.8,2.7,2.4
163,3.6,3.6,1.8,3.0,1.8,2.7,2.4,1.2
164,3.6,1.8,3.0,1.8,2.7,2.4,1.2,2.1
165,1.8,3.0,1.8,2.7,2.4,1.2,2.1,2.4
166,3.0,1.8,2.7,2.4,1.2,2.1,2.4,1.2
167,1.8,2.7,2.4,1.2,2.1,2.4,1.2,2.7
168,2.7,2.4,1.2,2.1,2.4,1.2,2.7,2.7
169,2.4,1.2,2.1,2.4,1.2,2.7,2.7,1.8
170,1.2,2.1,2.4,1.2,2.7,2.7,1.8,2.4
171,2.1,2.4,1.2,2.7,2.7,1.8,2.4,1.8
172,2.4,1.2,2.7,2.7,1.8,2.4,1.8,2.4
173,1.2,2.7,2.7,1.8,2.4,1.8,2.4,2.4
174,2.7,2.7,1.8,2.4,1.8,2.4,2.4,2.7
175,2.7,1.8,2.4,1.8,2.4,2.4,2.7,2.1
176,1.8,2.4,1.8,2.4,2.4,2.7,2.1,2.7
177,2.4,1.8,2.4,2.4,2.7,2.1,2.7,3.9
178,1.8,2.4,2.4,2.7,2.1,2.7,3.9,2.4
179,2.4,2.4,2.7,2.1,2.7,3.9,2.4,2.4
180,2.4,2.7,2.1,2.7,3.9,2.4,2.4,3.0
181,2.7,2.1,2.7,3.9,2.4,2.4,3.0,4.5
182,2.1,2.7,3.9,2.4,2.4,3.0,4.5,5.1
183,2.7,3.9,2.4,2.4,3.0,4.5,5.1,7.2
184,3.9,2.4,2.4,3.0,4.5,5.1,7.2,7.8
185,2.4,2.4,3.0,4.5,5.1,7.2,7.8,6.9
186,2.4,3.0,4.5,5.1,7.2,7.8,6.9,3.9
187,3.0,4.5,5.1,7.2,7.8,6.9,3.9,5.7
188,4.5,5.1,7.2,7.8,6.9,3.9,5.7,4.8
189,5.1,7.2,7.8,6.9,3.9,5.7,4.8,6.0
190,7.2,7.8,6.9,3.9,5.7,4.8,6.0,4.2
191,7.8,6.9,3.9,5.7,4.8,6.0,4.2,4.8
192,6.9,3.9,5.7,4.8,6.0,4.2,4.8,3.9
193,3.9,5.7,4.8,6.0,4.2,4.8,3.9,3.6
194,5.7,4.8,6.0,4.2,4.8,3.9,3.6,4.2
195,4.8,6.0,4.2,4.8,3.9,3.6,4.2,3.9
196,6.0,4.2,4.8,3.9,3.6,4.2,3.9,5.7
197,4.2,4.8,3.9,3.6,4.2,3.9,5.7,4.8
198,4.8,3.9,3.6,4.2,3.9,5.7,4.8,3.9
199,3.9,3.6,4.2,3.9,5.7,4.8,3.9,3.6
200,3.6,4.2,3.9,5.7,4.8,3.9,3.6,3.6
201,4.2,3.9,5.7,4.8,3.9,3.6,3.6,3.9
202,3.9,5.7,4.8,3.9,3.6,3.6,3.9,4.8
203,5.7,4.8,3.9,3.6,3.6,3.9,4.8,5.1
204,4.8,3.9,3.6,3.6,3.9,4.8,5.1,5.1
205,3.9,3.6,3.6,3.9,4.8,5.1,5.1,3.6
206,3.6,3.6,3.9,4.8,5.1,5.1,3.6,5.1
207,3.6,3.9,4.8,5.1,5.1,3.6,5.1,3.9
208,3.9,4.8,5.1,5.1,3.6,5.1,3.9,4.2
209,4.8,5.1,5.1,3.6,5.1,3.9,4.2,3.9
210,5.1,5.1,3.6,5.1,3.9,4.2,3.9,4.5
211,5.1,3.6,5.1,3.9,4.2,3.9,4.5,3.9
212,3.6,5.1,3.9,4.2,3.9,4.5,3.9,5.1
213,5.1,3.9,4.2,3.9,4.5,3.9,5.1,3.3
214,3.9,4.2,3.9,4.5,3.9,5.1,3.3,3.0
