,1,2,3,4,5,6,7,pre
0,6.0,5.4,4.5,5.7,4.5,5.4,5.7,6.0
1,5.4,4.5,5.7,4.5,5.4,5.7,6.0,6.6
2,4.5,5.7,4.5,5.4,5.7,6.0,6.6,7.2
3,5.7,4.5,5.4,5.7,6.0,6.6,7.2,8.4
4,4.5,5.4,5.7,6.0,6.6,7.2,8.4,7.2
5,5.4,5.7,6.0,6.6,7.2,8.4,7.2,7.5
6,5.7,6.0,6.6,7.2,8.4,7.2,7.5,7.8
7,6.0,6.6,7.2,8.4,7.2,7.5,7.8,7.2
8,6.6,7.2,8.4,7.2,7.5,7.8,7.2,6.6
9,7.2,8.4,7.2,7.5,7.8,7.2,6.6,7.5
10,8.4,7.2,7.5,7.8,7.2,6.6,7.5,6.6
11,7.2,7.5,7.8,7.2,6.6,7.5,6.6,6.6
12,7.5,7.8,7.2,6.6,7.5,6.6,6.6,6.6
13,7.8,7.2,6.6,7.5,6.6,6.6,6.6,6.6
14,7.2,6.6,7.5,6.6,6.6,6.6,6.6,6.0
15,6.6,7.5,6.6,6.6,6.6,6.6,6.0,6.9
16,7.5,6.6,6.6,6.6,6.6,6.0,6.9,5.7
17,6.6,6.6,6.6,6.6,6.0,6.9,5.7,5.4
18,6.6,6.6,6.6,6.0,6.9,5.7,5.4,5.4
19,6.6,6.6,6.0,6.9,5.7,5.4,5.4,4.8
20,6.6,6.0,6.9,5.7,5.4,5.4,4.8,6.0
21,6.0,6.9,5.7,5.4,5.4,4.8,6.0,3.6
22,6.9,5.7,5.4,5.4,4.8,6.0,3.6,4.2
23,5.7,5.4,5.4,4.8,6.0,3.6,4.2,2.7
24,5.4,5.4,4.8,6.0,3.6,4.2,2.7,1.8
25,5.4,4.8,6.0,3.6,4.2,2.7,1.8,2.4
26,4.8,6.0,3.6,4.2,2.7,1.8,2.4,3.9
27,6.0,3.6,4.2,2.7,1.8,2.4,3.9,3.9
28,3.6,4.2,2.7,1.8,2.4,3.9,3.9,4.8
29,4.2,2.7,1.8,2.4,3.9,3.9,4.8,5.1
30,2.7,1.8,2.4,3.9,3.9,4.8,5.1,4.8
31,1.8,2.4,3.9,3.9,4.8,5.1,4.8,6.6
32,2.4,3.9,3.9,4.8,5.1,4.8,6.6,6.3
33,3.9,3.9,4.8,5.1,4.8,6.6,6.3,6.9
34,3.9,4.8,5.1,4.8,6.6,6.3,6.9,7.5
35,4.8,5.1,4.8,6.6,6.3,6.9,7.5,8.4
36,5.1,4.8,6.6,6.3,6.9,7.5,8.4,6.6
37,4.8,6.6,6.3,6.9,7.5,8.4,6.6,7.5
38,6.6,6.3,6.9,7.5,8.4,6.6,7.5,6.9
39,6.3,6.9,7.5,8.4,6.6,7.5,6.9,6.9
40,6.9,7.5,8.4,6.6,7.5,6.9,6.9,7.2
41,7.5,8.4,6.6,7.5,6.9,6.9,7.2,8.1
42,8.4,6.6,7.5,6.9,6.9,7.2,8.1,7.8
43,6.6,7.5,6.9,6.9,7.2,8.1,7.8,7.8
44,7.5,6.9,6.9,7.2,8.1,7.8,7.8,7.5
45,6.9,6.9,7.2,8.1,7.8,7.8,7.5,6.9
46,6.9,7.2,8.1,7.8,7.8,7.5,6.9,6.0
47,7.2,8.1,7.8,7.8,7.5,6.9,6.0,6.0
48,8.1,7.8,7.8,7.5,6.9,6.0,6.0,6.3
49,7.8,7.8,7.5,6.9,6.0,6.0,6.3,6.3
50,7.8,7.5,6.9,6.0,6.0,6.3,6.3,4.5
