,1,2,3,4,5,6,7,pre
0,6.3,7.8,6.9,6.0,6.3,7.2,6.3,7.2
1,7.8,6.9,6.0,6.3,7.2,6.3,7.2,7.5
2,6.9,6.0,6.3,7.2,6.3,7.2,7.5,7.2
3,6.0,6.3,7.2,6.3,7.2,7.5,7.2,7.5
4,6.3,7.2,6.3,7.2,7.5,7.2,7.5,6.6
5,7.2,6.3,7.2,7.5,7.2,7.5,6.6,5.7
6,6.3,7.2,7.5,7.2,7.5,6.6,5.7,6.6
7,7.2,7.5,7.2,7.5,6.6,5.7,6.6,9.0
8,7.5,7.2,7.5,6.6,5.7,6.6,9.0,7.2
9,7.2,7.5,6.6,5.7,6.6,9.0,7.2,6.9
10,7.5,6.6,5.7,6.6,9.0,7.2,6.9,6.3
11,6.6,5.7,6.6,9.0,7.2,6.9,6.3,7.2
12,5.7,6.6,9.0,7.2,6.9,6.3,7.2,7.8
13,6.6,9.0,7.2,6.9,6.3,7.2,7.8,8.4
14,9.0,7.2,6.9,6.3,7.2,7.8,8.4,8.4
15,7.2,6.9,6.3,7.2,7.8,8.4,8.4,7.0387
16,6.9,6.3,7.2,7.8,8.4,8.4,7.0387,8.1
17,6.3,7.2,7.8,8.4,8.4,7.0387,8.1,4.5
18,7.2,7.8,8.4,8.4,7.0387,8.1,4.5,4.5
19,7.8,8.4,8.4,7.0387,8.1,4.5,4.5,5.7
20,8.4,8.4,7.0387,8.1,4.5,4.5,5.7,5.1
21,8.4,7.0387,8.1,4.5,4.5,5.7,5.1,6.0
22,7.0387,8.1,4.5,4.5,5.7,5.1,6.0,4.8
23,8.1,4.5,4.5,5.7,5.1,6.0,4.8,2.1
24,4.5,4.5,5.7,5.1,6.0,4.8,2.1,2.4
25,4.5,5.7,5.1,6.0,4.8,2.1,2.4,2.7
26,5.7,5.1,6.0,4.8,2.1,2.4,2.7,3.0
27,5.1,6.0,4.8,2.1,2.4,2.7,3.0,3.0
28,6.0,4.8,2.1,2.4,2.7,3.0,3.0,3.0
29,4.8,2.1,2.4,2.7,3.0,3.0,3.0,3.6
30,2.1,2.4,2.7,3.0,3.0,3.0,3.6,4.8
31,2.4,2.7,3.0,3.0,3.0,3.6,4.8,8.4
32,2.7,3.0,3.0,3.0,3.6,4.8,8.4,7.8
33,3.0,3.0,3.0,3.6,4.8,8.4,7.8,7.8
34,3.0,3.0,3.6,4.8,8.4,7.8,7.8,9.3
35,3.0,3.6,4.8,8.4,7.8,7.8,9.3,7.8
36,3.6,4.8,8.4,7.8,7.8,9.3,7.8,7.2
37,4.8,8.4,7.8,7.8,9.3,7.8,7.2,7.2
38,8.4,7.8,7.8,9.3,7.8,7.2,7.2,6.3
39,7.8,7.8,9.3,7.8,7.2,7.2,6.3,7.2
40,7.8,9.3,7.8,7.2,7.2,6.3,7.2,5.7
41,9.3,7.8,7.2,7.2,6.3,7.2,5.7,7.5
42,7.8,7.2,7.2,6.3,7.2,5.7,7.5,6.9
43,7.2,7.2,6.3,7.2,5.7,7.5,6.9,6.9
44,7.2,6.3,7.2,5.7,7.5,6.9,6.9,6.0
45,6.3,7.2,5.7,7.5,6.9,6.9,6.0,5.4
46,7.2,5.7,7.5,6.9,6.9,6.0,5.4,7.5
47,5.7,7.5,6.9,6.9,6.0,5.4,7.5,7.2
48,7.5,6.9,6.9,6.0,5.4,7.5,7.2,5.7
49,6.9,6.9,6.0,5.4,7.5,7.2,5.7,6.9
50,6.9,6.0,5.4,7.5,7.2,5.7,6.9,6.0
51,6.0,5.4,7.5,7.2,5.7,6.9,6.0,5.7
52,5.4,7.5,7.2,5.7,6.9,6.0,5.7,6.9
53,7.5,7.2,5.7,6.9,6.0,5.7,6.9,6.3
54,7.2,5.7,6.9,6.0,5.7,6.9,6.3,6.3
55,5.7,6.9,6.0,5.7,6.9,6.3,6.3,5.1
56,6.9,6.0,5.7,6.9,6.3,6.3,5.1,5.7
57,6.0,5.7,6.9,6.3,6.3,5.1,5.7,6.3
