,1,2,3,4,5,6,7,pre
0,6.6,6.0,5.7,6.6,6.6,5.7,5.7,7.8
1,6.0,5.7,6.6,6.6,5.7,5.7,7.8,7.8
2,5.7,6.6,6.6,5.7,5.7,7.8,7.8,8.1
3,6.6,6.6,5.7,5.7,7.8,7.8,8.1,5.7
4,6.6,5.7,5.7,7.8,7.8,8.1,5.7,6.3
5,5.7,5.7,7.8,7.8,8.1,5.7,6.3,7.8
6,5.7,7.8,7.8,8.1,5.7,6.3,7.8,6.3
7,7.8,7.8,8.1,5.7,6.3,7.8,6.3,6.3
8,7.8,8.1,5.7,6.3,7.8,6.3,6.3,6.6
9,8.1,5.7,6.3,7.8,6.3,6.3,6.6,5.7
10,5.7,6.3,7.8,6.3,6.3,6.6,5.7,7.5
11,6.3,7.8,6.3,6.3,6.6,5.7,7.5,5.7
12,7.8,6.3,6.3,6.6,5.7,7.5,5.7,6.9
13,6.3,6.3,6.6,5.7,7.5,5.7,6.9,6.9
14,6.3,6.6,5.7,7.5,5.7,6.9,6.9,7.2
15,6.6,5.7,7.5,5.7,6.9,6.9,7.2,6.3
16,5.7,7.5,5.7,6.9,6.9,7.2,6.3,3.3
17,7.5,5.7,6.9,6.9,7.2,6.3,3.3,5.1
18,5.7,6.9,6.9,7.2,6.3,3.3,5.1,5.4
19,6.9,6.9,7.2,6.3,3.3,5.1,5.4,4.5
20,6.9,7.2,6.3,3.3,5.1,5.4,4.5,3.9
21,7.2,6.3,3.3,5.1,5.4,4.5,3.9,3.6
22,6.3,3.3,5.1,5.4,4.5,3.9,3.6,3.0
23,3.3,5.1,5.4,4.5,3.9,3.6,3.0,1.8
24,5.1,5.4,4.5,3.9,3.6,3.0,1.8,1.5
25,5.4,4.5,3.9,3.6,3.0,1.8,1.5,1.8
26,4.5,3.9,3.6,3.0,1.8,1.5,1.8,3.0
27,3.9,3.6,3.0,1.8,1.5,1.8,3.0,3.9
28,3.6,3.0,1.8,1.5,1.8,3.0,3.9,3.3
29,3.0,1.8,1.5,1.8,3.0,3.9,3.3,3.3
30,1.8,1.5,1.8,3.0,3.9,3.3,3.3,4.7479
31,1.5,1.8,3.0,3.9,3.3,3.3,4.7479,7.2
32,1.8,3.0,3.9,3.3,3.3,4.7479,7.2,7.5
33,3.0,3.9,3.3,3.3,4.7479,7.2,7.5,7.8
34,3.9,3.3,3.3,4.7479,7.2,7.5,7.8,8.7
35,3.3,3.3,4.7479,7.2,7.5,7.8,8.7,6.9
36,3.3,4.7479,7.2,7.5,7.8,8.7,6.9,6.9
37,4.7479,7.2,7.5,7.8,8.7,6.9,6.9,6.6
38,7.2,7.5,7.8,8.7,6.9,6.9,6.6,6.3
39,7.5,7.8,8.7,6.9,6.9,6.6,6.3,5.1
40,7.8,8.7,6.9,6.9,6.6,6.3,5.1,7.2
41,8.7,6.9,6.9,6.6,6.3,5.1,7.2,6.9
42,6.9,6.9,6.6,6.3,5.1,7.2,6.9,6.6
43,6.9,6.6,6.3,5.1,7.2,6.9,6.6,6.6
44,6.6,6.3,5.1,7.2,6.9,6.6,6.6,5.7
45,6.3,5.1,7.2,6.9,6.6,6.6,5.7,5.7
46,5.1,7.2,6.9,6.6,6.6,5.7,5.7,6.6
47,7.2,6.9,6.6,6.6,5.7,5.7,6.6,6.6
48,6.9,6.6,6.6,5.7,5.7,6.6,6.6,6.6
49,6.6,6.6,5.7,5.7,6.6,6.6,6.6,6.3
50,6.6,5.7,5.7,6.6,6.6,6.6,6.3,5.4
51,5.7,5.7,6.6,6.6,6.6,6.3,5.4,4.8
52,5.7,6.6,6.6,6.6,6.3,5.4,4.8,6.9
53,6.6,6.6,6.6,6.3,5.4,4.8,6.9,5.7
54,6.6,6.6,6.3,5.4,4.8,6.9,5.7,3.9
55,6.6,6.3,5.4,4.8,6.9,5.7,3.9,5.4
56,6.3,5.4,4.8,6.9,5.7,3.9,5.4,5.4
57,5.4,4.8,6.9,5.7,3.9,5.4,5.4,6.6
58,4.8,6.9,5.7,3.9,5.4,5.4,6.6,4.5
59,6.9,5.7,3.9,5.4,5.4,6.6,4.5,5.7
60,5.7,3.9,5.4,5.4,6.6,4.5,5.7,4.5
61,3.9,5.4,5.4,6.6,4.5,5.7,4.5,5.4
62,5.4,5.4,6.6,4.5,5.7,4.5,5.4,4.2
63,5.4,6.6,4.5,5.7,4.5,5.4,4.2,4.8
64,6.6,4.5,5.7,4.5,5.4,4.2,4.8,6.0
65,4.5,5.7,4.5,5.4,4.2,4.8,6.0,3.3
66,5.7,4.5,5.4,4.2,4.8,6.0,3.3,2.7
67,4.5,5.4,4.2,4.8,6.0,3.3,2.7,3.3
68,5.4,4.2,4.8,6.0,3.3,2.7,3.3,2.1
69,4.2,4.8,6.0,3.3,2.7,3.3,2.1,3.0
70,4.8,6.0,3.3,2.7,3.3,2.1,3.0,3.3
71,6.0,3.3,2.7,3.3,2.1,3.0,3.3,5.1
72,3.3,2.7,3.3,2.1,3.0,3.3,5.1,4.8
73,2.7,3.3,2.1,3.0,3.3,5.1,4.8,3.9
74,3.3,2.1,3.0,3.3,5.1,4.8,3.9,3.3
75,2.1,3.0,3.3,5.1,4.8,3.9,3.3,1.8
76,3.0,3.3,5.1,4.8,3.9,3.3,1.8,3.9
77,3.3,5.1,4.8,3.9,3.3,1.8,3.9,3.3
78,5.1,4.8,3.9,3.3,1.8,3.9,3.3,3.6
79,4.8,3.9,3.3,1.8,3.9,3.3,3.6,3.9
80,3.9,3.3,1.8,3.9,3.3,3.6,3.9,3.6
81,3.3,1.8,3.9,3.3,3.6,3.9,3.6,1.8
82,1.8,3.9,3.3,3.6,3.9,3.6,1.8,3.0
83,3.9,3.3,3.6,3.9,3.6,1.8,3.0,2.7
84,3.3,3.6,3.9,3.6,1.8,3.0,2.7,3.3
85,3.6,3.9,3.6,1.8,3.0,2.7,3.3,3.9
86,3.9,3.6,1.8,3.0,2.7,3.3,3.9,3.6
87,3.6,1.8,3.0,2.7,3.3,3.9,3.6,2.1
88,1.8,3.0,2.7,3.3,3.9,3.6,2.1,3.0
89,3.0,2.7,3.3,3.9,3.6,2.1,3.0,1.8
90,2.7,3.3,3.9,3.6,2.1,3.0,1.8,3.3
91,3.3,3.9,3.6,2.1,3.0,1.8,3.3,5.1
92,3.9,3.6,2.1,3.0,1.8,3.3,5.1,4.5
93,3.6,2.1,3.0,1.8,3.3,5.1,4.5,4.8
94,2.1,3.0,1.8,3.3,5.1,4.5,4.8,3.0
95,3.0,1.8,3.3,5.1,4.5,4.8,3.0,3.6
96,1.8,3.3,5.1,4.5,4.8,3.0,3.6,1.8
97,3.3,5.1,4.5,4.8,3.0,3.6,1.8,3.0
98,5.1,4.5,4.8,3.0,3.6,1.8,3.0,1.8
99,4.5,4.8,3.0,3.6,1.8,3.0,1.8,2.4
100,4.8,3.0,3.6,1.8,3.0,1.8,2.4,3.3
101,3.0,3.6,1.8,3.0,1.8,2.4,3.3,4.5
102,3.6,1.8,3.0,1.8,2.4,3.3,4.5,4.2
103,1.8,3.0,1.8,2.4,3.3,4.5,4.2,3.0
104,3.0,1.8,2.4,3.3,4.5,4.2,3.0,2.1
105,1.8,2.4,3.3,4.5,4.2,3.0,2.1,3.3
106,2.4,3.3,4.5,4.2,3.0,2.1,3.3,2.1
107,3.3,4.5,4.2,3.0,2.1,3.3,2.1,1.5
108,4.5,4.2,3.0,2.1,3.3,2.1,1.5,2.4
109,4.2,3.0,2.1,3.3,2.1,1.5,2.4,3.0
110,3.0,2.1,3.3,2.1,1.5,2.4,3.0,2.1
111,2.1,3.3,2.1,1.5,2.4,3.0,2.1,1.8
112,3.3,2.1,1.5,2.4,3.0,2.1,1.8,2.4
113,2.1,1.5,2.4,3.0,2.1,1.8,2.4,0.9
114,1.5,2.4,3.0,2.1,1.8,2.4,0.9,1.5
115,2.4,3.0,2.1,1.8,2.4,0.9,1.5,1.5
116,3.0,2.1,1.8,2.4,0.9,1.5,1.5,1.5
117,2.1,1.8,2.4,0.9,1.5,1.5,1.5,2.7
118,1.8,2.4,0.9,1.5,1.5,1.5,2.7,1.5
119,2.4,0.9,1.5,1.5,1.5,2.7,1.5,1.2
120,0.9,1.5,1.5,1.5,2.7,1.5,1.2,2.4
121,1.5,1.5,1.5,2.7,1.5,1.2,2.4,2.4
122,1.5,1.5,2.7,1.5,1.2,2.4,2.4,1.5
123,1.5,2.7,1.5,1.2,2.4,2.4,1.5,2.7
124,2.7,1.5,1.2,2.4,2.4,1.5,2.7,1.5
125,1.5,1.2,2.4,2.4,1.5,2.7,1.5,1.5
126,1.2,2.4,2.4,1.5,2.7,1.5,1.5,2.4
127,2.4,2.4,1.5,2.7,1.5,1.5,2.4,1.5
128,2.4,1.5,2.7,1.5,1.5,2.4,1.5,2.1
129,1.5,2.7,1.5,1.5,2.4,1.5,2.1,2.1
130,2.7,1.5,1.5,2.4,1.5,2.1,2.1,1.5
131,1.5,1.5,2.4,1.5,2.1,2.1,1.5,2.7
132,1.5,2.4,1.5,2.1,2.1,1.5,2.7,2.1
133,2.4,1.5,2.1,2.1,1.5,2.7,2.1,1.8
134,1.5,2.1,2.1,1.5,2.7,2.1,1.8,2.7
135,2.1,2.1,1.5,2.7,2.1,1.8,2.7,3.0
136,2.1,1.5,2.7,2.1,1.8,2.7,3.0,1.5
137,1.5,2.7,2.1,1.8,2.7,3.0,1.5,3.3
138,2.7,2.1,1.8,2.7,3.0,1.5,3.3,3.6
139,2.1,1.8,2.7,3.0,1.5,3.3,3.6,3.6
140,1.8,2.7,3.0,1.5,3.3,3.6,3.6,3.0
