,1,2,3,4,5,6,7,pre
0,6.6,5.1,5.4,4.8,6.0,5.1,4.8,6.3
1,5.1,5.4,4.8,6.0,5.1,4.8,6.3,7.2
2,5.4,4.8,6.0,5.1,4.8,6.3,7.2,6.3
3,4.8,6.0,5.1,4.8,6.3,7.2,6.3,5.7
4,6.0,5.1,4.8,6.3,7.2,6.3,5.7,4.8
5,5.1,4.8,6.3,7.2,6.3,5.7,4.8,6.3
6,4.8,6.3,7.2,6.3,5.7,4.8,6.3,5.7
7,6.3,7.2,6.3,5.7,4.8,6.3,5.7,5.1
8,7.2,6.3,5.7,4.8,6.3,5.7,5.1,5.1
9,6.3,5.7,4.8,6.3,5.7,5.1,5.1,6.3
10,5.7,4.8,6.3,5.7,5.1,5.1,6.3,6.0
11,4.8,6.3,5.7,5.1,5.1,6.3,6.0,6.3
12,6.3,5.7,5.1,5.1,6.3,6.0,6.3,4.8
13,5.7,5.1,5.1,6.3,6.0,6.3,4.8,7.2
14,5.1,5.1,6.3,6.0,6.3,4.8,7.2,6.0
15,5.1,6.3,6.0,6.3,4.8,7.2,6.0,6.0
16,6.3,6.0,6.3,4.8,7.2,6.0,6.0,4.5
17,6.0,6.3,4.8,7.2,6.0,6.0,4.5,3.6
18,6.3,4.8,7.2,6.0,6.0,4.5,3.6,4.8
19,4.8,7.2,6.0,6.0,4.5,3.6,4.8,3.3
20,7.2,6.0,6.0,4.5,3.6,4.8,3.3,4.2
21,6.0,6.0,4.5,3.6,4.8,3.3,4.2,3.3
22,6.0,4.5,3.6,4.8,3.3,4.2,3.3,2.7
23,4.5,3.6,4.8,3.3,4.2,3.3,2.7,2.1
24,3.6,4.8,3.3,4.2,3.3,2.7,2.1,1.5
25,4.8,3.3,4.2,3.3,2.7,2.1,1.5,2.4
26,3.3,4.2,3.3,2.7,2.1,1.5,2.4,3.9
27,4.2,3.3,2.7,2.1,1.5,2.4,3.9,2.4
28,3.3,2.7,2.1,1.5,2.4,3.9,2.4,3.6
29,2.7,2.1,1.5,2.4,3.9,2.4,3.6,3.3
30,2.1,1.5,2.4,3.9,2.4,3.6,3.3,5.7
31,1.5,2.4,3.9,2.4,3.6,3.3,5.7,6.0
32,2.4,3.9,2.4,3.6,3.3,5.7,6.0,6.3
33,3.9,2.4,3.6,3.3,5.7,6.0,6.3,7.5
34,2.4,3.6,3.3,5.7,6.0,6.3,7.5,8.4
35,3.6,3.3,5.7,6.0,6.3,7.5,8.4,6.6
36,3.3,5.7,6.0,6.3,7.5,8.4,6.6,6.0
37,5.7,6.0,6.3,7.5,8.4,6.6,6.0,6.3
38,6.0,6.3,7.5,8.4,6.6,6.0,6.3,4.2
39,6.3,7.5,8.4,6.6,6.0,6.3,4.2,5.7
40,7.5,8.4,6.6,6.0,6.3,4.2,5.7,5.7
41,8.4,6.6,6.0,6.3,4.2,5.7,5.7,6.6
42,6.6,6.0,6.3,4.2,5.7,5.7,6.6,6.9
43,6.0,6.3,4.2,5.7,5.7,6.6,6.9,6.3
44,6.3,4.2,5.7,5.7,6.6,6.9,6.3,4.8
45,4.2,5.7,5.7,6.6,6.9,6.3,4.8,5.7
46,5.7,5.7,6.6,6.9,6.3,4.8,5.7,4.8
47,5.7,6.6,6.9,6.3,4.8,5.7,4.8,6.3
48,6.6,6.9,6.3,4.8,5.7,4.8,6.3,5.7
49,6.9,6.3,4.8,5.7,4.8,6.3,5.7,5.1
50,6.3,4.8,5.7,4.8,6.3,5.7,5.1,3.9
51,4.8,5.7,4.8,6.3,5.7,5.1,3.9,5.4
52,5.7,4.8,6.3,5.7,5.1,3.9,5.4,5.7
53,4.8,6.3,5.7,5.1,3.9,5.4,5.7,5.4
54,6.3,5.7,5.1,3.9,5.4,5.7,5.4,4.2
55,5.7,5.1,3.9,5.4,5.7,5.4,4.2,5.1
56,5.1,3.9,5.4,5.7,5.4,4.2,5.1,5.4
57,3.9,5.4,5.7,5.4,4.2,5.1,5.4,5.7
58,5.4,5.7,5.4,4.2,5.1,5.4,5.7,4.8
59,5.7,5.4,4.2,5.1,5.4,5.7,4.8,5.7
60,5.4,4.2,5.1,5.4,5.7,4.8,5.7,3.9
61,4.2,5.1,5.4,5.7,4.8,5.7,3.9,2.7
62,5.1,5.4,5.7,4.8,5.7,3.9,2.7,4.2
63,5.4,5.7,4.8,5.7,3.9,2.7,4.2,2.4
64,5.7,4.8,5.7,3.9,2.7,4.2,2.4,5.7
65,4.8,5.7,3.9,2.7,4.2,2.4,5.7,3.6
66,5.7,3.9,2.7,4.2,2.4,5.7,3.6,3.3
67,3.9,2.7,4.2,2.4,5.7,3.6,3.3,2.1
68,2.7,4.2,2.4,5.7,3.6,3.3,2.1,2.7
69,4.2,2.4,5.7,3.6,3.3,2.1,2.7,2.4
70,2.4,5.7,3.6,3.3,2.1,2.7,2.4,3.9
71,5.7,3.6,3.3,2.1,2.7,2.4,3.9,6.0
72,3.6,3.3,2.1,2.7,2.4,3.9,6.0,3.3
73,3.3,2.1,2.7,2.4,3.9,6.0,3.3,2.4
74,2.1,2.7,2.4,3.9,6.0,3.3,2.4,3.6
75,2.7,2.4,3.9,6.0,3.3,2.4,3.6,2.7
76,2.4,3.9,6.0,3.3,2.4,3.6,2.7,2.4
77,3.9,6.0,3.3,2.4,3.6,2.7,2.4,1.8
78,6.0,3.3,2.4,3.6,2.7,2.4,1.8,3.0
79,3.3,2.4,3.6,2.7,2.4,1.8,3.0,1.8
80,2.4,3.6,2.7,2.4,1.8,3.0,1.8,1.8
81,3.6,2.7,2.4,1.8,3.0,1.8,1.8,2.4
82,2.7,2.4,1.8,3.0,1.8,1.8,2.4,3.0
83,2.4,1.8,3.0,1.8,1.8,2.4,3.0,1.5
84,1.8,3.0,1.8,1.8,2.4,3.0,1.5,1.2
85,3.0,1.8,1.8,2.4,3.0,1.5,1.2,0.9
86,1.8,1.8,2.4,3.0,1.5,1.2,0.9,1.8
87,1.8,2.4,3.0,1.5,1.2,0.9,1.8,2.1
88,2.4,3.0,1.5,1.2,0.9,1.8,2.1,1.5
89,3.0,1.5,1.2,0.9,1.8,2.1,1.5,2.1
90,1.5,1.2,0.9,1.8,2.1,1.5,2.1,1.5
91,1.2,0.9,1.8,2.1,1.5,2.1,1.5,2.1643
92,0.9,1.8,2.1,1.5,2.1,1.5,2.1643,0.9
93,1.8,2.1,1.5,2.1,1.5,2.1643,0.9,0.9
94,2.1,1.5,2.1,1.5,2.1643,0.9,0.9,3.0
95,1.5,2.1,1.5,2.1643,0.9,0.9,3.0,2.4846
