,1,2,3,4,5,6,7,pre
0,7.8,6.3,5.1,6.9,5.7,8.1,8.1,6.0
1,6.3,5.1,6.9,5.7,8.1,8.1,6.0,7.5
2,5.1,6.9,5.7,8.1,8.1,6.0,7.5,9.0
3,6.9,5.7,8.1,8.1,6.0,7.5,9.0,7.5
4,5.7,8.1,8.1,6.0,7.5,9.0,7.5,6.9
5,8.1,8.1,6.0,7.5,9.0,7.5,6.9,7.2
6,8.1,6.0,7.5,9.0,7.5,6.9,7.2,7.2
7,6.0,7.5,9.0,7.5,6.9,7.2,7.2,7.8
8,7.5,9.0,7.5,6.9,7.2,7.2,7.8,7.5
9,9.0,7.5,6.9,7.2,7.2,7.8,7.5,6.6
10,7.5,6.9,7.2,7.2,7.8,7.5,6.6,7.2
11,6.9,7.2,7.2,7.8,7.5,6.6,7.2,7.5
12,7.2,7.2,7.8,7.5,6.6,7.2,7.5,8.1
13,7.2,7.8,7.5,6.6,7.2,7.5,8.1,8.7
14,7.8,7.5,6.6,7.2,7.5,8.1,8.7,9.6
15,7.5,6.6,7.2,7.5,8.1,8.7,9.6,8.7
16,6.6,7.2,7.5,8.1,8.7,9.6,8.7,9.3
17,7.2,7.5,8.1,8.7,9.6,8.7,9.3,4.8
18,7.5,8.1,8.7,9.6,8.7,9.3,4.8,3.9
19,8.1,8.7,9.6,8.7,9.3,4.8,3.9,5.1
20,8.7,9.6,8.7,9.3,4.8,3.9,5.1,5.1
21,9.6,8.7,9.3,4.8,3.9,5.1,5.1,5.1
22,8.7,9.3,4.8,3.9,5.1,5.1,5.1,4.8
23,9.3,4.8,3.9,5.1,5.1,5.1,4.8,2.4
24,4.8,3.9,5.1,5.1,5.1,4.8,2.4,2.4
25,3.9,5.1,5.1,5.1,4.8,2.4,2.4,1.5
26,5.1,5.1,5.1,4.8,2.4,2.4,1.5,2.7
27,5.1,5.1,4.8,2.4,2.4,1.5,2.7,3.0
28,5.1,4.8,2.4,2.4,1.5,2.7,3.0,3.3
29,4.8,2.4,2.4,1.5,2.7,3.0,3.3,3.6
30,2.4,2.4,1.5,2.7,3.0,3.3,3.6,4.5
31,2.4,1.5,2.7,3.0,3.3,3.6,4.5,7.5
32,1.5,2.7,3.0,3.3,3.6,4.5,7.5,7.8
33,2.7,3.0,3.3,3.6,4.5,7.5,7.8,7.5
34,3.0,3.3,3.6,4.5,7.5,7.8,7.5,8.4
35,3.3,3.6,4.5,7.5,7.8,7.5,8.4,6.6
36,3.6,4.5,7.5,7.8,7.5,8.4,6.6,6.9
37,4.5,7.5,7.8,7.5,8.4,6.6,6.9,7.8
