,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93
29,0.6172,0.24,0.42,0.11,0.11,0.08,0.1,0.12,0.53,0.47,0.61,0.21,0.69,0.28,0.32,0.08,0.2,0.39,0.73,1.12,0.49,0.07,0.07,0.07
395,0.11,0.1,0.11,0.11,0.11,0.09,0.1,0.11,0.11,0.1,0.1,0.11,0.12,0.08,0.1,0.2493,0.3027,0.3194,0.11,0.09,1.32,3.57,3.55,2.06
736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1102,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.12,0.15
1443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2374,0.63,0.14,0.08,0.25,0.05,0.07,0.06,0.06,0.92,0.43,0.03,0.03,0.17,0.04,0.02,0.04,0.02,0.28,0.01,0.05,0.43,0.4991,0.6055,0.49
3106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3813,1.35,0.24,0.23,0.23,0.2,0.23,0.21,0.12,0.31,0.19,0.16,0.05,0.07,0.06,0.06,0.04,0.07,0.06,0.05,0.07,0.05,0.64,1.69,2.23
4179,0.33,0.09,0.09,0.1,0.3,0.19,0.12,0.1,2.48,0.73,0.04,0.05,0.03,0.05,0.04,0.05,0.04,0.05,0.1,2.22,3.1,2.85,0.84,0.1
4545,0.04,0.03,0.03,0.04,0.03,0.04,0.02,0.05,0.2,0.09,0.05,0.14,0.11,0.11,0.13,0.1,0.06,0.06,0.12,0.14,0.22,0.1,0.11,0.04
4911,0.26,0.15,0.06,0.04,0.07,0.04,0.06,0.05,0.04,0.07,0.05,0.2,0.27,0.18,1.1,1.14,0.63,0.15,0.19,0.23,0.17,0.69,0.25,0.23
5269,0.08,0.1,0.08,0.11,0.08,0.1,0.08,0.11,0.09,0.09,0.13,0.08,0.14,0.1663,0.1603,0.11,0.2,0.38,0.7,0.54,0.15,0.14,0.09,0.12
5634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000,0.13,0.1,0.1,0.1,0.12,0.1,0.1,0.11,0.11,0.09,0.1,0.22,0.1658,0.1517,0.14,0.16,0.15,0.15,0.24,0.27,0.12,0.12,0.14,0.13
6366,0.04,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.07,0.07,0.07,0.09,0.21,0.03,0.07,0.07,0.08,0.08,0.19,0.09,0.08,0.07,0.03,0.03
6732,0.28,1.1,1.06,0.9,0.21,0.14,0.93,1.2,0.15,0.27,0.57,2.25,1.96,1.24,0.15,0.12,0.55,1.37,1.18,2.02,1.85,1.57,2.17,0.49
7096,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.02
7462,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03
7803,0.8234,0.07,0.17,0.05,0.18,0.05,0.16,0.14,0.42,0.3828,0.4807,0.19,1.2,1.19,1.29,1.22,1.37,1.21,0.9,1.16,1.37,1.38,0.64,0.8687
8165,0.15,0.19,0.21,0.13,0.19,0.15,0.14,0.9658,1.6542,2.71,2.98,3.52,2.16,1.5716,1.49,0.19,0.17,0.95,3.26,2.73,2.6,2.915,2.2279,0.9942
8507,0.04,0.03,0.04,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.04,0.03,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.04
8871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9212,0.12,0.07,0.14,0.05,0.12,0.1,0.1,0.09,0.09,0.1,0.09,0.1,0.12,0.1,0.06,0.0917,0.0926,0.1,0.05,0.15,0.06,0.1,0.09,0.12
9578,0.11,0.1299,0.1283,0.1334,0.12,0.14,0.55,0.24,0.21,0.34,0.53,0.66,0.48,0.68,1.28,1.33,1.1216,1.095,1.31,0.66,0.28,0.29,0.12,0.09
9943,0.4,0.21,0.24,0.23,0.22,0.18,0.13,0.13,0.1,0.1,0.04,0.04,0.08,0.05,0.04,0.04,0.25,0.2,0.26,0.41,0.45,0.82,0.32,0.39
10644,3.37,0.72,1.82,1.77,1.63,1.39,1.51,1.81,1.43,0.83,0.82,0.8404,0.7996,0.66,0.7369,0.6782,1.08,0.31,0.57,0.93,1.32,2.29,1.62,0.99
11005,0.6,0.3,0.39,0.38,0.39,0.4,0.35,0.37,0.51,0.8,0.51,0.51,0.34,0.39,0.47,0.52,1.11,2.73,3.57,3.12,1.97,0.55,0.59,0.57
11367,1.33,1.08,1.8,0.2,0.24,0.22,0.24,0.5,0.43,0.33,0.36,0.43,0.29,0.34,0.47,0.3,0.5,0.37,0.46,0.99,0.69,1.97,2.11,3.34
11733,0.47,0.11,0.09,0.13,0.09,0.118,0.1312,0.1,0.09,0.16,0.1,0.07,0.07,0.09,0.29,0.08,0.1,0.11,0.75,0.87,0.47,0.61,0.82,0.45
12116,0.5,0.4,0.47,0.47,0.46,0.47,0.46,0.47,0.47,0.96,3.81,3.05,3.19,2.22,2.5,2.24,1.78,2.05,0.57,0.54,0.42,0.4,0.46,0.46
12458,0.81,0.72,0.73,0.69,0.68,0.68,2.33,2.14,1.32,1.33,1.47,3.46,1.58,1.46,0.98,0.92,1.32,2.37,2.06,3.49,2.11,0.84,0.66,0.63
12824,0.2,0.09,0.15,0.14,0.15,0.47,0.1977,0.2223,0.27,0.45,0.17,0.3311,0.3216,0.59,0.17,0.14,0.15,0.25,0.31,0.48,0.77,0.18,0.17,0.27
13183,1.12,0.05,0.08,0.06,0.04,0.07,0.11,0.1478,0.1271,0.05,0.03,0.02,0.06,0.01,0.07,0.06,0.0843,0.2186,0.02,0.03,3.07,4.49,1.27,2.69
13411,1.7,1.21,1.32,1.16,1.3,1.39,1.37,3.5,2.95,0.24,0.1,0.17,0.4,0.49,0.43,0.4,0.98,2.76,2.81,3.0,2.94,2.92,3.52,3.42
13777,0.15,0.14,0.07,0.06,0.07,0.07,0.14,0.21,0.7,1.2,2.5,0.43,1.01,0.43,1.72,1.49,1.01,1.01,0.69,1.06,1.73,1.22,2.48,1.47
14143,0.13,0.04,0.1,0.0,0.0214,0.07,0.11,0.07,0.16,0.57,0.22,0.17,0.21,0.13,0.13,0.11,0.2488,0.3658,0.39,0.36,2.51,3.46,2.72,2.01
14508,0.544,0.43,0.22,0.23,0.21,0.21,0.17,0.3,0.73,0.37,0.27,0.22,0.29,0.22,0.4,0.57,0.34,0.3656,0.64,0.31,0.41,0.35,0.42,0.46
14874,0.02,0.04,0.03,0.03,0.05,0.11,0.1593,0.08,0.16,0.19,0.13,0.16,0.16,0.05,0.1,0.15,0.11,0.1,0.04,0.11,0.25,0.22,0.16,0.03
15240,0.04,0.01,0.02,0.0836,0.061,0.02,0.21,0.04,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.04,1.79,1.94,1.55,0.04,0.44,1.87,1.95,1.19
15606,0.45,0.26,0.42,0.3,0.27,0.44,0.26,0.44,0.82,0.45,0.18,0.29,0.18,0.39,0.25,0.39,0.52,0.95,1.26,3.23,4.19,3.36,0.24,0.2
15972,0.03,0.02,0.03,0.07,0.02,0.02,0.04,0.03,0.07,0.03,0.08,0.08,0.23,0.1,0.05,0.09,0.14,0.92,0.44,0.17,0.18,0.13,0.49,0.4
16338,0.04,0.05,0.04,0.05,0.04,0.0405,0.0437,0.05,0.04,0.05,0.03,0.04,0.05,0.04,0.05,0.04,0.05,0.04,0.04,0.05,0.04,0.05,0.04,0.04
16697,0.22,0.28,0.2,0.28,0.2,0.19,0.3,0.23,0.32,0.93,0.55,1.2,0.45,0.36,0.36,0.27,0.38,0.31,0.8,0.32,0.35,0.18,0.29,0.18
17063,0.05,0.0133,0.005,0.03,0.03,0.04,0.03,0.03,0.12,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0965,0.128,0.03
17428,0.07,0.09,0.05,0.09,0.06,0.09,0.25,0.33,0.11,0.06,0.08,0.06,0.08,0.06,0.1,0.06,0.15,0.34,0.34,0.24,0.16,0.16,0.13,0.15
17793,0.09,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.0168,0.0153,0.01,0.01,0.0143,0.0143,0.01,0.01,0.01,0.02,0.07,0.02,0.02,0.02
