,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93
28,0.53,0.18,0.08,0.08,0.16,0.09,0.08,0.1101,0.149,0.205,0.2603,0.13,0.19,0.11,0.12,0.49,0.47,0.42,0.54,0.95,0.31,0.26,0.4544,0.4178
394,0.12,0.1,0.11,0.11,0.1,0.1076,0.1143,0.1,0.12,0.09,0.1116,0.1247,0.11,0.1,0.1,0.12,0.08,0.13,0.1,0.11,0.09,0.1,0.11,0.11
735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1101,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0
1442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2232,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.44,0.77,0.86,0.78,0.7446
2251,1.09,0.314,0.1046,0.0449,0.0503,0.1331,0.3852,0.79,0.77,0.37,0.02,0.02,0.04,0.02,0.02,0.04,0.02,0.02,0.04,0.02,0.03,0.03,0.0367,0.0606
2271,0.01,0.01,0.0,0.01,0.01,0.27,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.27,0.01,0.01,0.01,0.01,0.01,0.0641,0.0846
2305,0.01,0.03,0.01,0.01,0.03,0.05,0.02,0.03,0.08,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.12,0.08,0.04,0.0572,0.058
2320,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.036,0.0255
2334,0.02,0.01,0.02,0.0546,0.02,0.01,0.01,0.02,0.39,0.37,0.01,0.01,0.02,0.21,0.11,0.02,0.01,0.02,0.01,0.3521,0.5081,0.6271,0.6835,0.6954
2373,0.39,0.04,0.2,0.02,0.04,0.02,0.04,0.02,0.68,0.27,0.36,0.06,0.16,0.14,0.06,0.07,0.04,0.31,0.08,0.38,0.04,0.43,0.91,0.72
3105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3812,1.19,0.19,0.23,0.22,0.2,0.24,0.32,0.1894,0.25,0.37,0.24,0.06,0.06,0.05,0.07,0.06,0.05,0.06,0.05,0.06,0.06,0.09,0.94,1.59
4178,0.23,0.2,0.22,0.25,0.27,0.36,0.12,0.86,2.15,0.17,0.04,0.04,0.04,0.05,0.03,0.05,0.04,0.05,0.03,3.62,2.76,4.07,2.42,2.46
4544,0.04,0.02,0.04,0.03,0.03,0.04,0.03,0.08,0.04,0.03,0.04,0.05,0.15,0.2,0.12,0.59,0.57,0.49,0.12,0.07,0.15,0.1,0.09,0.04
4910,1.22,0.21,0.12,0.05,0.05,0.06,0.05,0.05,0.06,0.04,0.07,0.1,0.29,0.14,0.17,0.31,0.56,1.22,1.25,1.02,0.17,0.21,0.24,0.21
5268,0.11,0.1,0.08,0.12,0.09,0.1,0.09,0.12,0.14,0.14,0.17,0.27,0.2,0.1,0.13,0.1795,0.2289,0.33,0.52,0.38,0.14,0.1,0.08,0.11
5633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5999,0.12,0.12,0.11,0.1,0.12,0.11,0.1,0.11,0.13,0.22,0.14,0.14,0.37,0.29,0.14,0.14,0.17,0.55,4.48,4.27,3.81,1.49,1.49,0.17
6365,0.04,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.06,0.09,0.07,0.07,0.07,0.03,0.08,0.08,0.07,0.0789,0.07,0.08,0.09,0.04,0.03,0.03
6731,3.48,1.12,1.26,1.17,0.6,0.81,2.45,2.15,0.94,0.33,0.63,0.87,1.18,0.41,0.34,0.15,1.29,2.88,0.57,0.56,2.06,1.04,1.48,0.65
7095,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.02
7461,0.03,0.02,0.03,0.02,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03
7802,0.35,0.09,0.13,0.12,0.09,0.14,0.06,0.16,0.21,0.25,0.04,0.71,1.26,1.23,1.18,1.29,1.18,0.69,0.27,1.4,1.28,1.28,0.79,0.7835
8164,0.4146,0.1,0.21,0.11,0.16,0.12,0.13,0.15,0.12,2.26,3.92,1.38,0.22,0.13,0.18,0.13,0.15,0.16,0.14,0.17,2.51,1.47,0.29,0.18
8506,0.04,0.03,0.04,0.04,0.04,0.03,0.05,0.03,0.04,0.04,0.03,0.04,0.04,0.03,0.04,0.04,0.03,0.04,0.04,0.03,0.04,0.03,0.04,0.04
8870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9211,0.06,0.11,0.12,0.05,0.15,0.07,0.06,0.14,0.09,0.13,0.05,0.07,0.16,0.05,0.14,0.08,0.12,0.06,0.08,0.14,0.06,0.15,0.06,0.09
9577,0.14,0.06,0.14,0.13,0.1557,0.1705,0.25,0.2,0.19,0.2722,0.321,0.38,0.41,0.37,0.4338,0.4494,0.44,0.43,0.56,0.44,0.3,0.23,0.3,0.2
9942,0.2,0.14,0.14,0.16,0.14,0.15,0.15,0.15,0.14,0.13,0.17,0.12,0.25,0.26,0.39,0.53,0.29,0.37,0.15,0.416,0.5196,0.29,0.61,0.92
10643,1.34,1.1471,1.0663,0.96,1.01,0.93,1.0,0.8499,0.7891,1.08,0.92,0.27,0.33,0.84,0.63,0.3,0.78,1.08,0.29,0.4,0.78,1.0395,1.0544,1.99
11004,0.57,0.3,0.34,0.34,0.34,0.33,0.33,0.27,0.62,0.87,0.36,0.57,0.61,0.66,0.571,1.53,0.69,0.82,2.96,3.32,3.34,3.29,1.76,0.6
11366,2.88,0.57,0.24,0.26,0.24,0.25,0.25,0.28,0.81,0.44,0.37,0.25,0.23,0.27,0.32,0.31,0.85,0.62,1.51,5.23,6.15,5.32,4.78,2.64
11732,1.52,1.3,0.14,0.12,0.21,0.22,0.13,0.07,0.09,0.08,0.08,0.08,0.11,0.11,0.07,0.09,1.01,2.44,1.26,0.47,0.35,0.51,0.16,0.89
12115,0.49,0.42,0.44,0.47,0.43,0.47,0.47,0.47,0.46,1.6718,4.13,5.43,4.83,4.47,3.34,2.15,2.26,1.55,0.57,0.45,0.42,0.42,0.45,0.41
12457,0.72,0.6,0.65,0.66,0.64,1.64,2.07,1.78,1.14,1.18,1.01,2.46,1.46,1.27,1.11,0.99,1.53,1.32,2.0,1.8,1.29,1.15,0.94,0.76
12823,0.18,0.08,0.13,0.14,0.13,0.13,0.16,0.18,0.22,0.41,0.29,0.68,0.74,0.23,0.25,0.31,0.27,0.19,1.01,0.27,0.6,0.24,0.17,0.14
13182,2.23,0.3402,0.1493,0.0832,0.0715,0.03,0.09,0.1524,0.1417,0.03,0.03,0.03,0.1,0.05,0.1044,0.1098,0.01,0.11,0.06,0.24,2.8,3.06,2.4151,0.85
13410,2.0,0.22,0.38,0.38,0.24,0.4,0.92,3.32,2.99,0.11,0.18,2.79,2.67,2.75,2.53,2.23,2.72,2.35,2.56,2.73,2.85,2.42,2.56,3.22
13776,0.17,0.07,0.08,0.12,0.16,0.14,0.11,0.11,0.5,0.18,0.47,0.3243,0.2794,0.23,0.14,0.54,0.2767,0.3263,0.33,0.28,0.34,0.94,1.8,0.85
14142,0.19,0.04,0.07,0.08,0.11,0.06,0.08,0.07,0.3827,0.3874,0.12,0.63,1.09,1.19,0.11,0.1,0.08,0.11,0.7694,1.3714,2.89,3.05,2.82,0.88
14507,0.32,0.32,0.24,0.2,0.21,0.23,0.21,0.22,0.44,0.25,0.17,0.12,0.25,0.15,0.24,0.41,0.19,0.48,0.36,0.24,0.21,0.2,0.25,0.2997
14873,0.05,0.04,0.02,0.0494,0.076,0.04,0.1643,0.09,0.15,0.21,0.14,0.5,0.13,0.17,0.07,0.03,0.13,0.09,0.08,0.11,0.23,0.2,0.07,0.03
15239,0.04,0.01,0.03,0.03,0.03,0.02,0.16,0.14,0.03,0.02,0.03,2.08,1.63,1.69,2.02,2.03,1.23,1.51,1.97,0.6,1.32,1.89,1.21,1.12
15605,0.26,0.16,0.19,0.23,0.18,0.2899,0.3307,0.23,0.37,1.11,0.66,0.31,0.45,0.53,0.75,0.42,0.47,1.57,2.81,2.74,3.62,2.36,0.44,0.31
15971,0.05,0.02,0.03,0.06,0.03,0.02,0.03,0.04,0.04,0.06,0.12,0.12,0.25,0.13,0.11,0.09,0.13,0.66,0.56,0.2,0.15,0.13,0.66,0.25
16337,0.04,0.05,0.04,0.05,0.04,0.05,0.05,0.04,0.05,0.04,0.05,0.04,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.05,0.04,0.0614,0.0661,0.05
16696,0.26,0.13,0.17,0.23,0.16,0.26,0.15,0.26,0.4,0.45,0.51,0.78,0.4,0.32,0.21,0.32,0.79,0.83,1.09,0.46,0.36,0.27,0.19,0.27
17062,0.24,0.03,0.05,0.04,0.05,0.05,0.1384,0.157,0.04,0.09,0.18,0.0528,0.0402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.21,0.13
