,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93
4,0.08,0.06,0.08,0.06,0.08,0.07,0.07,0.07,0.07,0.07,0.15,0.09,0.07,0.08,0.07,0.0881,0.0887,0.08,0.07,0.07,0.07,0.07,0.07,0.08
370,0.1,0.07,0.12,0.11,0.07,0.09,0.09,0.11,0.09,0.08,0.09,0.11,0.1,0.07,0.12,0.08,0.09,0.11,0.11,0.08,0.07,0.12,0.1,0.09
1077,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
2349,1.16,0.93,0.34,0.3,0.33,0.2107,0.2402,0.21,0.44,0.64,0.82,0.99,0.25,0.25,0.2,0.1,0.33,0.23,0.36,0.23,0.83,0.97,1.08,1.26
3081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4154,0.19,0.12,0.14,0.12,0.16,0.13,0.12,0.24,0.23,0.12,0.02,0.03,0.05,0.04,0.03,0.02,0.07,0.02,0.03,1.35,2.29,1.74,2.13,0.52
4520,0.04,0.03,0.03,0.04,0.03,0.04,0.03,0.04,0.13,0.08,0.05,0.04,0.05,0.1,0.08,0.09,0.09,0.08,0.16,0.14,0.2,0.13,0.05,0.01
4886,0.42,0.18,0.21,0.06,0.06,0.04,0.06,0.05,0.05,0.07,0.03,0.28,0.39,0.16,0.21,0.24,0.36,0.25,0.3,0.28,0.32,0.31,0.3,0.29
5244,0.17,0.09,0.13,0.0965,0.0929,0.08,0.11,0.07,0.1,0.06,0.09,0.07,0.08,0.07,0.08,0.07,0.1,0.11,0.12,0.07,0.07,0.07,0.06,0.08
