,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93
14,0.82,0.12,0.06,0.07,0.08,0.14,0.1,0.07,0.1307,0.1701,0.2071,0.18,0.1,0.14,0.13,0.24,0.19,0.14,0.54,0.33,0.22,0.22,0.89,0.27
380,0.12,0.08,0.1,0.11,0.07,0.09,0.11,0.09,0.08,0.1,0.1,0.09,0.1,0.08,0.09,0.12,0.09,0.07,0.11,0.09,0.1,0.09,0.07,0.1
1087,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0
2359,0.05,0.04,0.05,0.47,0.1058,0.2,0.23,0.03,0.39,0.23,0.04,0.06,0.21,0.04,0.07,0.07,0.26,0.07,0.11,0.63,0.21,0.33,0.31,0.1
3091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4164,2.88,1.02,0.18,0.03,0.18,0.07,0.39,0.05,1.33,0.3,0.03,0.02,0.03,0.02,0.07,0.03,0.06,0.04,0.1,2.26,1.18,1.51,2.87,1.18
4530,0.03,0.04,0.03,0.04,0.03,0.03,0.04,0.06,0.04,0.07,0.14,0.11,0.11,0.06,0.05,0.19,0.63,0.13,0.37,0.11,0.1,0.1,0.06,0.03
4896,0.27,0.11,0.05,0.05,0.06,0.05,0.07,0.03,0.07,0.06,0.1,0.11,0.12,0.11,0.13,0.3,0.19,0.12,0.13,0.21,0.32,0.2,0.21,0.21
5254,0.77,0.57,0.64,0.4249,0.3555,0.2815,0.2384,0.1,0.39,0.07,0.1,0.12,0.12,0.09,0.09,0.09,0.09,0.12,0.33,0.21,0.15,0.83,1.33,0.74
5619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5985,0.11,0.1,0.13,0.1,0.11,0.1,0.13,0.12,0.09,0.1,0.13,0.09,0.11,0.09,0.12,0.1,0.1,0.11,0.1,0.5,0.27,0.19,0.17,0.11
6351,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.08,0.08,0.07,0.07,0.08,0.28,0.04,0.06,0.08,0.07,0.07,0.19,0.17,0.06,0.1,0.06,0.03
6717,0.38,0.18,1.33,0.77,0.87,0.56,0.15,0.11,0.46,0.08,0.5,0.18,0.08,0.12,0.08,0.11,2.02,3.22,1.99,1.04,0.99,2.81,2.46,2.19
7081,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02
7447,0.03,0.02,0.03,0.03,0.02,0.03,0.02,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.03
