Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly)
 01/01  01:00:00,263.220131211,23.6239026766,0.0,0.0,24.9203635341,149.522181205,926.641114813,924.450901142,2.19021367101
 01/01  02:00:00,258.927700936,19.6204506348,0.0,0.0,24.9203635341,149.522181205,766.060616539,763.870472635,2.1901439037
 01/01  03:00:00,264.460207881,24.5255632935,0.0,0.0,24.9203635341,149.522181205,1094.57256575,1092.38228697,2.19027878078
 01/01  04:00:00,259.043693665,19.6204506348,0.0,0.0,24.9203635341,149.522181205,807.697612963,805.507335814,2.19027714865
 01/01  05:00:00,276.768238795,24.5255632935,0.0,0.0,24.9203635341,149.522181205,1112.92356832,1110.73329394,2.1902743821
 01/01  06:00:00,295.764836395,19.6204506348,0.0,0.0,24.9203635341,149.522181205,823.188504194,818.821900554,4.3666036405
 01/01  07:00:00,350.18522172,24.5255632935,0.0,0.0,24.9203635341,149.522181205,1138.39991087,1136.20983797,2.19007290534
 01/01  08:00:00,334.966249942,19.6204506348,0.0,0.0,24.9203635341,149.522181205,831.758171376,829.5681679,2.19000347551
 01/01  09:00:00,323.266116385,24.5255632935,0.0,0.0,24.9203635341,149.522181205,1081.98331027,1077.62283162,4.36047865069
 01/01  10:00:00,280.924706919,19.6204506348,0.0,0.0,24.9203635341,149.522181205,694.901144049,692.71100854,2.19013550852
 01/01  11:00:00,237.166712258,24.5255632935,0.0,0.0,24.9203635341,149.522181205,839.85362946,837.663359392,2.1902700674
 01/01  12:00:00,231.755535216,19.6204506348,0.0,0.0,24.9203635341,149.522181205,583.411147904,579.04611009,4.36503781385
 01/01  13:00:00,236.84343074,24.5255632935,0.0,0.0,24.9203635341,149.522181205,703.279321013,701.086799406,2.19252160777
 01/01  14:00:00,231.585818709,19.6204506348,0.0,0.0,24.9203635341,149.522181205,518.265181833,511.71747123,6.5477106029
 01/01  15:00:00,236.843409572,24.5255632935,0.0,0.0,24.9203635341,149.522181205,751.096709459,748.904494222,2.19221523751
 01/01  16:00:00,248.690158839,19.6204506348,0.0,0.0,24.9203635341,149.522181205,564.766853025,560.406514991,4.36033803383
 01/01  17:00:00,337.02892141,24.5255632935,0.0,0.0,24.9203635341,149.522181205,818.022913014,815.832677662,2.19023535243
 01/01  18:00:00,368.497923398,19.6204506348,0.0,0.0,24.9203635341,149.522181205,635.09723273,632.90700003,2.1902326998
 01/01  19:00:00,373.916134534,24.5255632935,0.0,0.0,24.9203635341,149.522181205,964.13666723,961.946434843,2.19023238668
 01/01  20:00:00,344.253673169,19.6204506348,0.0,0.0,24.9203635341,149.522181205,739.578224907,737.38799389,2.19023101766
 01/01  21:00:00,349.799808112,24.5255632935,0.0,0.0,24.9203635341,149.522181205,1098.6382381,1096.44821326,2.19002483735
 01/01  22:00:00,320.021736254,19.6204506348,0.0,0.0,24.9203635341,149.522181205,801.566122284,797.199336595,4.36678568891
 01/01  23:00:00,300.967090408,24.5255632935,0.0,0.0,24.9203635341,149.522181205,1049.84034325,1047.65018039,2.19016285917
 01/01  24:00:00,271.123102456,19.6204506348,0.0,0.0,24.9203635341,149.522181205,763.157803754,758.797481355,4.36032239874
 01/02  01:00:00,314.145341209,24.5255632935,0.0,0.0,24.9203635341,199.362908273,1023.49125003,1021.29982737,2.19142265563
 01/02  02:00:00,308.766981329,19.6204506348,0.0,0.0,24.9203635341,199.362908273,756.05163485,753.860231398,2.19140345207
 01/02  03:00:00,314.300659698,24.5255632935,0.0,0.0,24.9203635341,199.362908273,1080.83908335,1076.47625083,4.3628325182
 01/02  04:00:00,308.891173175,19.6204506348,0.0,0.0,24.9203635341,199.362908273,797.44941668,795.257989383,2.19142729691
 01/02  05:00:00,326.644937092,24.5255632935,0.0,0.0,24.9203635341,199.362908273,1111.93505415,1107.5725077,4.3625464536
 01/02  06:00:00,370.608552386,19.6204506348,0.0,0.0,49.8407270682,199.362908273,841.509015672,837.139667752,4.36934792005
 01/02  07:00:00,435.436691687,30.5408533338,0.0,0.0,49.8407270682,199.362908273,3371.70923202,3367.34197493,4.36725708659
 01/02  08:00:00,532.395426901,30.5408533338,0.0,0.0,149.522181205,199.362908273,5230.7074657,5219.75172532,10.9557403773
 01/02  09:00:00,1061.86251608,30.5408533338,0.0,0.0,448.566543614,448.566543614,3791.03488472,3771.1598888,19.8749959193
 01/02  10:00:00,1024.1031128,30.5408533338,0.0,0.0,448.566543614,448.566543614,3282.21271173,3260.09691117,22.1158005566
 01/02  11:00:00,974.627195762,30.5408533338,0.0,0.0,448.566543614,448.566543614,2874.49956284,2852.37373024,22.1258325988
 01/02  12:00:00,974.289925293,30.5408533338,0.0,0.0,448.566543614,448.566543614,2592.10781725,2565.4532892,26.6545280488
 01/02  13:00:00,924.402023909,30.5408533338,0.0,0.0,448.566543614,398.725816546,2502.49738748,2471.22220977,31.2751777072
 01/02  14:00:00,973.92125662,30.5408533338,0.0,0.0,448.566543614,448.566543614,2255.65189518,2224.42627626,31.2256189152
 01/02  15:00:00,973.790215143,30.5408533338,0.0,0.0,448.566543614,448.566543614,2073.62242527,2053.75999043,19.8624348464
 01/02  16:00:00,990.828572965,30.5408533338,0.0,0.0,448.566543614,448.566543614,2012.42844651,1994.77985062,17.6485958918
